alpha_freq,delta_kmeans,u_width,g_freq,r_freq,i_width,z_width,redshift_width
7,1,10,10,12,2,2,1
4,2,10,5,5,1,1,0
4,8,19,15,14,2,2,2
2,1,17,20,19,2,2,2
7,5,6,1,2,1,1,0
1,3,15,38,46,3,3,5
8,4,16,22,39,4,4,0
7,8,11,7,10,2,2,0
7,8,11,14,23,3,3,15
8,8,10,13,21,3,3,4
8,6,15,24,23,2,2,2
5,7,21,38,44,3,3,4
3,3,9,5,10,2,2,0
5,9,15,36,39,3,3,3
5,9,15,27,25,3,3,2
10,1,17,40,45,4,5,4
5,1,23,20,23,2,3,4
4,1,15,31,34,3,3,4
11,1,11,15,28,3,3,4
4,8,17,24,22,2,2,3
10,2,16,17,18,2,2,0
11,1,15,18,17,2,2,2
9,6,13,22,38,4,4,0
9,7,17,39,48,3,3,0
2,3,16,22,20,2,2,2
5,6,9,6,10,2,2,0
2,5,14,20,34,3,4,5
8,1,15,26,30,3,3,3
3,3,18,21,20,2,2,2
5,1,13,12,11,1,1,2
1,3,16,38,47,4,4,2
6,9,9,3,2,1,1,0
9,6,14,12,13,1,1,0
6,7,4,0,0,0,0,0
6,7,12,14,22,3,3,0
3,5,8,4,9,2,2,0
3,5,20,31,46,4,4,4
0,1,15,33,31,3,3,3
2,4,11,14,22,3,3,4
3,3,15,16,15,2,2,2
2,3,15,32,46,4,3,5
9,6,14,25,46,4,4,14
1,2,22,39,48,3,3,4
9,5,9,5,7,1,1,0
10,6,12,18,34,3,4,10
10,6,5,0,1,1,1,0
7,5,17,17,15,2,2,2
9,8,15,25,30,3,3,4
1,0,13,15,24,3,3,0
2,5,10,11,19,3,3,14
2,5,11,12,19,3,3,0
1,5,8,3,8,2,2,0
11,4,19,36,37,3,3,3
2,4,11,9,10,1,1,0
4,8,23,32,29,3,3,3
7,8,10,13,23,3,3,13
8,7,14,27,41,4,4,7
11,4,18,29,27,3,3,3
11,3,22,22,19,2,2,2
5,1,17,23,22,2,2,3
4,1,10,6,9,1,1,0
2,4,21,40,50,4,3,0
2,1,15,17,17,2,2,1
2,1,17,40,49,4,3,4
9,3,11,12,21,3,3,0
9,3,8,3,4,1,1,0
9,3,10,13,22,3,3,13
9,3,12,15,27,3,3,0
9,3,10,9,14,2,2,0
0,1,17,39,42,3,3,4
0,1,16,32,37,3,3,4
5,1,11,12,18,3,3,0
6,5,11,11,15,2,2,0
7,5,15,21,36,3,3,0
2,6,12,15,26,3,3,0
7,2,14,29,30,3,3,4
6,2,13,23,43,4,4,14
10,4,11,9,12,2,2,0
3,6,12,17,30,3,3,3
10,6,8,8,13,2,2,8
10,6,12,17,28,3,3,11
2,1,16,19,22,3,3,1
11,1,13,15,18,2,2,1
2,6,13,10,9,1,1,0
1,0,11,5,5,1,1,0
6,5,10,12,19,3,3,8
7,5,8,9,17,3,3,0
6,1,9,3,2,1,1,0
7,9,22,30,30,3,3,3
0,1,15,24,25,3,3,3
10,1,15,33,44,4,3,5
1,0,16,35,50,4,5,5
5,1,12,12,17,2,3,0
2,5,12,18,28,3,3,6
3,8,12,9,9,1,1,1
7,2,16,37,35,3,3,4
10,5,18,32,30,3,3,3
5,7,15,38,41,3,3,4
3,3,23,29,25,3,2,3
5,5,13,17,32,3,4,0
6,5,11,16,26,3,3,6
6,5,11,15,27,3,3,10
4,4,21,37,49,4,3,0
9,3,11,13,21,3,3,0
3,6,13,11,11,1,1,1
4,7,14,28,27,3,3,2
3,6,15,21,22,2,2,3
3,6,9,6,10,2,2,0
5,1,21,37,39,3,3,4
2,2,13,14,19,3,3,0
5,1,14,25,27,3,3,3
8,3,7,3,6,1,1,0
4,4,16,38,50,4,4,5
7,8,10,11,17,2,3,7
2,3,13,21,35,3,4,3
2,3,8,5,10,2,2,0
2,3,15,24,41,4,4,17
5,6,16,37,44,3,3,5
0,0,9,11,17,2,3,9
0,0,11,11,16,2,2,0
0,0,11,11,17,2,3,0
6,9,12,8,8,1,1,1
0,3,17,18,17,2,2,2
6,1,6,0,1,1,1,0
4,1,15,19,34,3,4,0
11,4,19,17,16,2,2,2
3,3,15,38,49,4,4,4
3,6,13,26,43,4,4,7
10,0,8,4,7,1,2,0
8,8,11,16,32,3,3,11
5,4,19,37,50,4,4,5
5,4,16,34,47,4,4,5
9,2,16,20,36,4,4,0
0,0,23,31,34,3,3,3
1,5,8,2,2,1,1,0
0,1,15,30,30,3,3,4
5,1,9,1,1,0,0,0
4,8,13,19,19,2,2,3
4,8,17,37,42,3,3,4
11,1,12,13,20,3,3,0
10,1,17,36,33,3,3,3
11,3,14,14,14,2,2,1
11,3,18,23,19,2,2,2
1,1,17,29,47,4,4,5
1,1,11,7,6,1,1,0
11,1,15,27,45,4,4,7
3,6,17,31,30,3,3,3
5,2,10,8,10,1,2,0
2,1,14,17,21,2,2,2
2,1,15,14,15,2,2,1
2,6,11,7,9,1,2,0
7,2,19,15,15,2,2,2
11,1,14,26,46,4,4,17
11,3,18,16,17,2,2,0
2,3,6,1,1,1,1,0
10,1,16,28,29,2,2,1
5,6,19,39,44,3,3,4
4,1,9,10,17,3,3,0
9,2,16,31,39,3,3,4
2,8,15,22,37,3,4,0
5,1,21,30,28,3,3,2
8,1,22,35,41,3,3,0
6,9,16,30,26,3,2,3
4,8,19,28,29,3,3,2
6,5,8,6,11,2,2,0
6,5,9,5,9,1,2,0
6,5,10,7,11,2,2,0
4,4,18,37,50,4,5,8
4,8,17,40,45,3,3,4
2,1,14,19,22,3,3,2
9,3,14,36,40,3,3,4
2,6,13,23,40,4,4,6
11,1,11,12,17,2,2,1
11,4,15,31,29,3,3,3
1,0,15,34,33,3,3,0
5,5,13,15,23,3,3,0
0,0,14,13,14,2,2,0
0,0,11,11,19,3,3,0
4,9,11,3,2,1,1,0
6,9,9,3,3,1,1,0
6,6,13,20,37,3,4,10
10,6,13,16,23,3,3,0
10,6,12,18,33,3,3,2
10,6,9,5,13,2,2,0
10,6,6,0,0,0,0,0
2,1,15,18,20,2,2,2
10,4,14,28,25,3,2,3
10,1,16,33,45,4,4,0
11,1,11,9,8,1,1,1
0,1,19,34,39,3,3,4
5,1,10,9,13,2,2,0
5,1,14,22,35,3,3,4
9,5,13,15,24,3,3,0
9,5,9,9,12,1,2,1
1,4,9,12,20,3,3,11
1,4,13,21,35,4,3,7
4,8,21,25,24,3,3,3
0,1,16,37,50,4,4,7
11,1,16,30,47,4,4,0
0,1,9,10,16,2,2,3
3,3,18,20,23,2,2,3
3,3,14,27,38,3,3,3
4,2,15,32,31,3,3,3
6,5,14,21,39,3,3,14
7,5,14,26,33,3,3,3
3,7,18,25,23,3,3,2
3,7,18,27,26,3,3,3
4,1,12,13,16,2,2,0
10,1,13,25,45,4,3,5
2,3,15,23,45,4,4,0
4,1,17,33,33,3,3,0
1,1,13,15,17,2,2,1
3,4,20,35,46,4,4,0
11,1,11,9,7,1,1,1
7,3,17,25,25,3,2,3
7,3,18,35,36,3,3,3
1,5,15,38,50,4,3,6
3,7,9,6,8,1,1,1
4,8,19,40,44,3,3,4
4,8,12,9,8,1,1,1
10,4,10,9,13,2,2,0
5,7,4,0,0,0,1,0
5,7,14,28,45,4,4,2
5,7,15,29,46,4,4,0
3,4,13,18,26,3,3,2
8,1,7,4,12,2,2,3
4,3,6,0,0,0,0,0
4,3,14,19,36,4,4,0
0,0,15,27,47,4,4,5
1,0,13,22,39,4,4,0
0,0,15,20,33,3,3,15
0,0,9,8,13,2,2,0
0,0,12,13,19,3,3,17
0,0,6,1,2,1,1,0
1,0,12,20,32,3,4,7
11,8,5,0,0,0,0,0
1,0,11,13,22,3,3,14
1,0,13,20,37,3,3,11
9,4,17,36,37,2,2,0
7,2,13,11,11,1,1,1
7,2,19,18,17,2,2,2
7,2,19,29,26,3,2,3
7,8,14,26,38,4,4,8
1,4,10,7,10,2,2,0
10,4,17,39,46,3,3,4
11,1,17,26,24,2,2,3
10,4,18,25,40,4,4,0
7,5,14,30,41,4,4,9
9,6,19,36,40,3,3,4
10,6,13,15,25,3,3,0
5,5,15,29,33,3,3,3
7,2,8,4,9,1,2,0
2,1,13,16,18,2,2,1
9,3,12,11,15,2,2,0
4,6,20,25,23,3,2,2
4,6,15,17,16,2,2,2
1,1,16,17,17,2,2,2
11,4,15,19,18,2,2,2
0,1,16,38,47,4,4,5
10,1,14,35,45,4,3,5
0,1,15,14,13,2,2,2
1,0,23,40,47,3,3,6
9,6,20,30,32,3,3,3
6,5,9,10,18,2,3,3
6,5,14,25,43,4,4,1
11,3,13,14,14,2,2,1
11,3,17,28,29,3,3,0
11,1,21,32,32,3,3,3
9,7,8,2,8,2,2,0
10,4,20,40,49,3,3,4
2,6,20,40,49,3,3,4
6,5,10,9,14,2,2,0
5,5,14,22,33,3,4,0
9,5,13,40,50,3,3,6
0,3,18,40,40,3,3,4
0,0,10,8,12,2,2,0
0,0,9,10,16,2,3,7
0,0,19,21,21,2,2,0
7,4,13,18,26,3,3,3
8,3,12,10,12,2,2,0
1,4,8,2,3,1,1,0
11,1,17,18,18,2,2,2
4,9,16,24,24,3,3,3
6,1,19,24,22,2,2,3
6,8,9,5,5,1,1,1
8,7,10,5,6,1,1,0
2,5,11,15,23,3,3,8
11,1,13,18,31,3,3,4
0,1,22,34,32,3,3,3
5,1,9,6,12,2,2,0
5,1,14,19,28,3,3,0
5,1,9,6,11,2,2,0
5,1,9,11,17,2,3,7
2,7,19,22,50,3,5,0
4,8,15,32,32,3,3,3
5,8,17,19,18,2,2,2
7,8,13,11,10,1,1,1
9,5,16,32,38,3,3,0
4,8,9,4,4,1,1,0
9,6,7,3,6,1,2,0
9,6,11,8,7,1,1,1
10,5,17,36,38,3,3,4
10,7,12,10,13,2,2,0
6,5,15,40,49,4,3,4
4,1,18,26,23,2,2,3
1,5,13,20,37,3,3,3
1,4,14,26,45,4,4,10
3,7,21,40,45,3,3,3
3,7,17,21,21,2,2,3
2,3,17,35,41,3,3,0
10,1,17,28,27,3,2,3
9,3,13,16,27,3,3,0
9,3,12,12,20,3,3,0
6,5,16,29,41,4,4,0
3,3,16,37,48,4,4,7
2,1,17,33,34,3,3,3
2,1,20,20,19,2,2,2
10,2,15,13,14,2,2,1
3,7,16,20,23,2,2,0
5,7,8,9,14,2,2,14
1,6,12,10,14,2,2,0
0,0,15,22,36,4,4,9
0,0,11,4,2,1,0,0
0,0,8,4,9,2,2,0
0,0,12,12,16,2,2,0
0,0,18,22,22,2,2,0
6,2,12,15,28,3,3,14
6,2,6,1,4,1,1,0
10,2,15,18,17,2,2,2
10,2,17,28,29,3,3,3
10,4,22,40,49,4,3,5
11,0,14,19,32,3,4,0
8,1,18,35,35,3,3,3
7,2,5,0,0,0,0,0
8,2,11,9,10,2,1,0
8,2,13,12,12,2,2,1
9,6,12,17,31,3,3,10
7,2,21,37,39,3,3,3
2,5,14,23,39,3,3,13
2,5,4,0,0,0,0,0
10,6,11,6,8,1,2,0
4,8,20,39,49,3,3,4
2,1,14,15,21,3,3,0
11,2,18,24,39,4,4,0
5,1,11,5,5,1,1,0
0,1,14,27,26,3,3,3
7,3,17,26,24,3,2,2
4,1,19,30,28,3,3,3
3,1,17,20,19,2,2,2
2,1,12,8,6,1,1,1
2,5,13,12,16,2,2,0
10,4,22,39,50,4,3,6
5,5,15,31,27,3,3,3
3,2,14,17,28,3,3,0
6,9,21,25,23,3,2,3
4,8,20,35,37,3,3,4
2,3,7,2,6,1,2,0
11,1,21,27,26,2,2,3
11,1,17,33,32,3,3,3
9,5,13,24,39,4,4,6
2,2,9,6,13,2,2,0
8,1,14,19,27,3,3,3
10,0,19,16,20,2,3,0
3,3,16,35,49,4,4,6
3,8,11,7,6,1,1,1
1,4,17,38,39,3,3,3
0,2,15,32,31,3,3,2
11,1,15,32,45,4,4,5
0,1,16,30,26,3,2,3
5,1,11,14,21,3,3,13
5,1,7,2,4,1,1,0
5,1,7,1,2,1,1,0
11,4,17,36,38,3,3,0
11,3,14,12,11,1,1,1
5,7,19,39,42,3,3,4
2,1,16,29,26,3,2,3
2,1,15,16,16,2,2,2
2,1,14,20,18,2,2,1
9,3,9,8,13,2,2,0
9,3,6,0,1,1,1,0
9,3,11,12,17,2,3,0
5,9,16,25,24,2,2,3
7,8,8,5,10,2,2,0
5,5,22,29,31,3,3,3
1,1,13,14,16,2,2,1
9,6,12,16,24,3,3,9
9,5,7,1,3,1,1,0
2,1,9,6,9,1,1,0
5,5,13,10,8,1,1,0
5,5,14,28,44,4,4,4
6,5,9,6,11,2,2,0
6,5,14,24,42,4,4,13
6,6,11,7,6,1,1,1
7,6,6,0,1,0,0,0
5,1,18,37,41,3,3,8
1,4,13,23,42,4,4,10
4,8,15,14,14,2,2,2
4,8,17,31,38,3,3,0
11,2,15,20,30,3,3,16
4,5,21,33,47,3,3,6
3,4,17,36,49,4,4,5
0,0,18,25,38,4,4,0
7,8,5,0,0,0,0,0
8,8,20,21,29,3,3,0
11,1,17,34,40,3,3,3
11,1,18,19,18,2,2,2
9,7,7,1,2,1,1,0
8,8,16,23,39,4,3,0
0,3,20,19,19,2,2,3
8,8,10,6,6,1,1,0
8,8,22,34,31,3,3,3
7,8,21,36,40,3,3,5
1,3,12,17,29,3,4,0
4,1,17,33,36,3,3,3
0,0,13,16,23,3,3,5
0,0,11,14,20,2,3,1
0,0,11,12,18,2,3,0
0,1,16,31,36,3,3,3
7,1,12,8,8,1,1,0
5,1,8,4,6,1,1,0
6,1,13,10,10,1,1,1
5,5,9,7,12,2,2,0
6,5,13,16,28,3,3,0
6,5,13,21,40,4,4,9
2,7,13,14,14,2,2,2
5,5,15,23,32,3,3,4
3,1,20,34,38,3,3,3
8,6,16,28,30,3,3,3
7,2,16,23,38,4,4,0
5,9,13,19,18,2,2,2
5,5,18,38,48,3,3,4
6,0,9,2,2,1,1,0
7,2,17,28,24,3,3,3
1,5,4,0,0,0,0,0
0,1,15,28,30,3,3,3
7,1,15,30,29,3,3,0
5,1,9,11,16,2,3,7
5,1,13,17,31,3,3,16
5,1,6,1,2,1,1,0
5,7,23,32,37,3,3,3
1,1,18,38,45,3,3,3
2,1,10,7,8,1,1,0
1,1,11,8,9,1,1,0
1,1,10,8,10,1,1,0
5,6,10,7,10,1,1,0
8,5,8,3,6,1,1,0
6,6,18,39,38,3,3,3
4,1,9,8,13,2,2,0
4,3,17,36,50,5,4,6
10,1,20,33,34,3,3,3
10,1,17,31,32,3,3,3
3,4,17,32,44,3,3,4
3,8,9,3,4,1,1,0
5,1,19,32,30,3,3,2
3,3,15,34,47,4,4,5
5,6,16,16,16,2,2,0
11,3,20,39,49,3,3,4
2,7,6,3,12,2,2,0
7,8,12,17,25,3,3,12
8,8,13,21,40,4,4,12
3,3,15,38,36,3,3,4
8,3,13,13,12,1,1,2
7,4,15,22,21,2,2,2
0,1,21,18,18,2,2,3
0,1,24,23,21,2,2,2
7,1,12,25,32,3,3,3
5,7,15,39,42,3,3,5
5,7,18,26,27,3,3,3
1,1,16,37,42,3,3,4
6,8,9,6,10,2,2,0
6,9,15,25,26,3,3,3
7,9,17,30,28,3,3,2
10,3,16,24,41,4,4,15
4,6,20,35,42,3,3,4
4,8,15,37,38,3,3,4
4,8,16,32,33,3,3,3
4,8,15,21,24,3,3,1
4,8,19,20,18,2,2,3
4,8,10,5,5,1,1,0
5,5,19,31,33,3,3,2
5,5,21,29,30,3,3,3
5,9,19,26,26,3,2,3
8,6,18,39,48,3,3,4
9,6,6,1,2,1,1,0
2,2,9,10,16,2,2,9
3,6,10,13,21,3,3,7
10,4,17,40,50,4,3,5
0,3,15,13,13,2,2,1
10,1,15,35,31,3,3,3
11,1,18,27,24,2,2,3
2,1,11,5,3,1,1,1
2,1,15,19,24,3,3,1
4,7,19,19,18,2,2,2
0,1,11,9,8,1,1,1
3,6,15,20,4,1,1,1
2,2,12,22,38,3,2,0
2,7,17,29,30,2,2,0
4,8,7,1,1,0,0,0
3,1,15,24,44,4,4,15
6,3,11,12,17,2,3,0
7,3,9,11,17,2,2,13
5,9,20,31,31,3,3,3
1,3,17,37,46,4,4,3
6,5,14,27,45,4,4,10
6,5,14,24,43,4,4,0
4,8,7,3,6,1,2,0
9,6,18,37,43,3,3,5
9,7,18,15,15,2,2,2
9,3,19,37,45,4,5,0
2,7,14,21,32,3,3,0
5,9,14,19,19,2,2,2
8,8,16,34,40,4,4,1
7,8,13,27,40,4,4,8
5,6,13,24,39,4,4,8
9,5,13,27,42,4,4,6
4,1,18,27,42,4,4,0
5,4,15,34,49,4,4,5
0,4,22,40,50,3,3,5
0,4,16,40,50,4,3,6
2,6,13,19,34,3,4,13
1,5,5,0,1,1,1,0
10,4,16,29,30,3,3,3
0,1,21,26,24,3,2,3
0,1,18,23,21,2,2,2
4,1,16,22,21,2,2,3
5,1,9,11,15,2,2,7
9,5,17,31,27,3,3,3
1,1,15,14,18,2,2,0
2,1,14,14,14,2,2,1
6,5,9,8,13,2,2,0
6,5,14,32,47,4,4,6
6,5,9,7,12,2,2,0
11,3,20,33,39,3,3,3
9,8,19,38,42,3,3,4
5,5,21,36,40,3,3,3
9,2,14,22,37,4,4,0
3,8,11,6,5,1,1,1
5,7,19,36,40,3,3,2
5,7,16,33,36,3,3,3
2,5,15,27,40,4,4,0
1,1,11,12,16,2,2,1
2,8,22,23,23,2,2,2
7,6,15,16,17,2,2,1
2,1,17,27,28,3,3,3
9,5,14,17,25,3,3,0
3,7,15,23,41,4,4,0
0,1,15,24,39,4,4,5
0,1,8,4,8,1,2,0
3,7,15,22,23,3,2,3
7,8,11,8,10,1,1,0
0,5,19,15,33,3,5,0
2,3,16,20,30,3,3,0
11,1,21,26,23,3,2,2
0,1,16,27,42,4,4,15
4,7,20,25,26,3,3,3
4,1,16,33,34,3,3,3
2,7,17,40,50,4,3,0
5,5,16,15,19,2,3,0
4,4,15,34,50,4,5,6
4,4,16,30,48,4,4,6
1,1,17,34,45,4,4,7
0,1,16,32,29,3,3,3
3,1,16,24,41,4,4,0
8,8,15,29,45,4,4,10
11,4,16,31,29,3,3,2
10,6,4,0,0,0,0,0
10,6,6,1,2,1,1,0
10,6,13,19,39,4,4,14
7,2,22,37,39,3,3,4
6,5,10,12,20,3,3,7
6,5,14,29,43,4,4,4
5,5,13,18,31,3,3,3
7,5,13,24,40,4,4,7
6,1,8,1,1,0,0,0
4,8,18,39,41,3,3,5
5,1,11,4,4,1,1,0
10,4,13,11,13,2,2,0
1,1,10,9,10,1,1,1
2,6,13,22,36,3,3,12
10,1,14,31,47,4,4,6
9,6,14,25,40,4,4,6
9,5,14,30,44,4,4,8
0,3,18,40,48,4,3,5
11,1,16,35,43,3,3,4
10,1,14,25,41,4,4,8
11,3,16,19,18,2,2,2
6,6,8,4,5,1,1,0
5,6,14,21,27,3,3,4
5,1,13,13,16,2,3,6
4,1,10,9,15,2,2,0
7,3,17,34,37,3,3,4
7,8,18,38,24,3,3,2
3,6,9,4,6,1,1,0
7,8,16,24,24,2,2,4
4,7,14,19,17,2,2,3
4,1,15,32,36,3,3,0
4,7,15,26,24,3,2,2
3,3,16,25,32,3,3,3
8,2,16,17,17,2,2,2
7,3,13,11,11,2,2,1
2,7,14,19,31,3,3,0
3,2,19,26,38,4,4,0
6,7,11,14,20,3,3,2
7,6,7,2,3,1,1,0
7,6,4,0,1,1,1,7
8,8,16,22,22,2,2,3
4,8,17,38,46,3,3,3
9,1,21,31,33,3,3,3
11,2,22,24,21,2,2,2
3,1,10,9,13,2,2,0
2,5,8,3,5,1,1,0
5,4,18,20,19,2,2,2
10,6,13,20,32,3,3,3
6,0,17,19,17,2,2,2
2,6,15,30,42,4,4,12
3,4,14,23,40,4,4,16
1,1,13,16,18,2,2,2
9,5,17,21,18,2,2,0
9,3,13,11,11,1,1,0
5,1,17,33,32,3,3,3
5,1,11,12,19,3,3,0
9,4,17,33,30,3,3,2
1,1,14,28,41,3,3,5
1,0,18,38,50,4,4,6
6,8,20,36,41,3,3,4
4,8,18,40,47,3,3,4
1,1,17,32,29,3,3,2
1,1,9,5,6,1,1,0
6,1,11,7,8,1,1,0
3,6,14,24,30,3,3,3
4,2,10,5,5,1,1,0
4,8,17,26,23,2,2,3
7,8,14,21,25,3,3,2
8,8,9,8,14,2,2,0
8,8,11,11,17,2,3,0
5,7,18,39,45,3,3,4
3,3,17,34,37,3,3,4
8,2,11,6,5,1,1,1
0,3,15,40,48,3,3,5
11,1,19,28,26,3,2,3
9,6,15,24,38,3,4,9
4,1,8,10,15,2,2,8
0,0,9,12,19,3,3,13
7,4,16,31,36,3,3,3
6,6,16,13,13,2,2,1
3,5,9,6,10,2,2,0
3,2,9,8,13,2,2,0
5,9,20,26,24,2,2,3
5,9,15,15,14,2,2,2
0,4,21,40,50,4,3,0
3,5,8,5,10,2,2,0
2,6,20,29,43,4,4,0
7,9,10,7,9,1,1,0
3,7,16,22,20,2,2,2
4,8,12,11,12,2,1,1
6,5,11,7,4,1,0,0
0,1,17,30,30,3,3,3
6,1,13,12,12,2,2,1
5,1,12,17,33,3,3,3
10,5,8,3,7,1,2,0
7,8,11,14,22,3,3,6
9,6,10,13,22,3,3,11
9,6,11,17,29,3,3,12
9,5,10,6,10,2,2,0
7,2,19,36,43,3,3,4
0,1,15,28,48,4,4,0
7,9,11,12,17,2,2,0
6,5,20,27,33,3,3,2
6,5,19,27,43,4,4,0
11,1,20,34,38,3,3,4
4,8,11,8,10,1,2,0
0,3,15,27,46,4,4,0
8,5,10,5,7,1,1,0
5,7,19,38,39,3,3,4
8,2,16,29,31,3,3,4
5,9,12,10,11,1,1,1
10,1,16,38,41,3,3,3
4,1,17,23,23,3,2,3
4,1,20,34,35,3,3,3
4,8,15,16,16,2,2,3
9,3,17,22,35,3,4,0
8,7,9,4,5,1,1,0
3,8,13,16,22,3,3,0
11,3,11,7,7,1,1,0
0,3,10,5,4,1,1,1
0,3,15,29,29,3,3,2
1,3,15,30,41,4,4,2
3,1,16,23,39,4,4,0
6,5,12,18,30,3,3,5
4,7,8,3,4,1,1,0
4,8,19,39,47,3,3,9
3,7,20,25,39,4,4,7
4,7,15,28,49,4,4,9
9,2,14,19,18,2,2,2
4,8,15,22,21,2,2,3
4,7,7,0,0,0,0,0
4,7,8,4,7,1,2,0
8,1,21,36,36,3,3,4
9,7,22,40,50,3,3,0
4,5,15,16,17,2,2,2
4,3,15,37,49,4,4,5
5,5,17,40,50,3,3,0
10,3,14,27,44,4,4,11
10,3,15,24,44,4,4,3
5,9,9,7,10,2,2,1
4,1,17,23,34,3,3,16
2,5,14,22,41,4,4,16
2,5,12,19,36,3,4,11
3,1,17,21,39,4,4,0
11,4,23,29,27,3,3,3
10,1,7,2,5,1,1,0
10,1,14,40,32,3,2,4
10,1,22,39,45,3,3,4
9,5,14,26,40,4,4,10
7,2,16,29,26,2,2,3
5,5,10,5,5,1,1,0
1,1,15,21,24,3,2,2
6,5,13,20,36,3,3,12
7,5,9,10,17,2,3,10
6,5,12,20,34,3,4,9
3,8,17,40,47,3,3,4
4,8,17,35,39,3,3,4
11,4,22,40,45,3,3,5
11,3,20,34,37,3,3,2
0,1,14,11,12,2,2,1
1,0,13,33,43,3,3,5
5,1,12,18,32,3,3,13
5,1,10,7,10,2,2,0
5,1,12,5,3,1,1,0
4,8,17,35,37,3,3,2
11,1,18,40,50,4,3,0
4,8,15,10,10,1,1,1
9,7,10,11,17,3,3,6
6,6,11,6,6,1,1,0
5,7,20,33,33,3,3,3
5,9,16,32,31,3,3,3
10,4,16,26,43,4,4,0
5,1,15,28,28,3,3,3
2,1,17,34,35,3,3,2
0,0,15,17,29,3,3,0
2,1,9,4,5,1,1,0
3,1,8,3,4,1,1,0
8,1,19,31,34,3,3,3
11,2,11,14,22,3,3,8
3,3,15,31,46,4,4,4
4,6,8,5,10,2,2,0
7,8,11,13,23,3,3,4
8,7,11,15,22,3,3,8
2,7,17,20,31,3,3,0
9,7,11,6,6,1,1,0
1,1,14,13,15,2,2,1
4,9,17,34,35,3,3,3
10,5,17,22,20,2,2,2
6,7,13,9,8,1,1,1
3,4,12,17,33,3,3,13
0,2,6,1,3,1,1,0
0,0,8,3,6,1,1,0
0,0,11,12,18,2,3,0
5,7,5,0,0,0,0,0
2,5,14,31,47,4,4,5
6,8,17,40,44,3,3,5
6,8,23,32,29,3,2,4
6,8,20,31,28,3,2,3
8,9,18,37,39,3,3,3
10,0,14,17,23,3,3,0
3,2,16,32,37,3,3,3
10,6,7,1,2,1,1,0
10,2,8,3,6,1,1,0
8,1,10,12,17,2,2,0
4,1,17,39,44,3,3,4
3,1,14,22,41,4,4,4
6,6,17,16,16,2,2,0
3,1,17,18,17,2,2,2
3,1,22,38,43,3,2,0
3,1,20,33,46,4,3,0
2,1,12,12,14,2,2,1
9,3,12,10,12,2,2,0
3,7,12,9,10,1,1,1
1,1,15,33,45,4,4,3
1,1,12,14,17,2,2,1
4,2,18,30,31,3,2,4
0,3,12,16,31,4,4,0
2,4,9,3,5,2,1,0
7,2,11,9,11,2,2,0
2,3,16,33,46,4,3,5
9,6,14,22,39,4,4,9
6,6,11,8,8,1,1,0
5,4,14,20,23,2,2,0
2,2,10,6,8,1,2,0
5,6,13,22,39,4,4,8
1,4,11,16,25,3,3,7
4,8,22,31,42,3,3,10
5,1,15,32,29,3,3,3
3,3,16,31,41,3,5,4
2,6,13,24,45,4,4,11
2,6,16,31,41,4,4,7
2,5,14,25,42,4,4,6
4,7,16,31,36,3,3,3
4,1,16,26,27,3,3,3
2,8,17,36,37,3,3,3
8,7,10,9,14,2,2,0
2,5,10,9,12,2,2,0
5,5,12,18,35,3,4,12
2,1,14,16,19,2,2,2
5,7,17,38,43,3,3,4
5,7,20,24,24,2,2,3
1,1,15,36,35,3,3,3
1,1,10,9,13,2,2,0
1,1,9,8,12,2,2,0
11,3,19,27,33,3,2,0
1,1,17,24,21,2,2,2
7,3,15,28,33,3,3,4
2,2,10,9,14,2,2,0
6,5,14,27,43,4,4,8
9,5,8,2,4,1,1,0
2,2,10,6,9,2,2,0
9,6,17,30,30,3,3,3
2,2,13,13,19,2,3,0
7,8,16,26,27,3,3,3
5,8,12,10,10,1,1,1
7,8,10,8,9,1,1,1
11,3,21,40,48,3,3,0
6,1,18,33,36,3,3,2
5,5,11,14,23,3,3,7
5,5,14,30,47,4,4,5
3,3,7,2,4,1,1,0
3,3,15,27,30,3,3,3
8,3,10,7,10,2,2,0
10,1,19,29,24,3,2,3
9,6,9,5,11,2,2,0
3,4,15,31,36,3,3,3
4,5,14,34,36,3,3,4
7,3,12,13,19,3,3,0
3,3,7,1,2,1,1,0
4,1,9,10,16,2,2,14
8,1,20,34,37,3,3,3
9,5,17,35,39,3,3,0
8,9,12,8,6,1,1,0
5,9,20,27,25,3,2,3
11,2,10,7,9,1,1,0
11,3,10,5,5,1,1,0
10,2,8,2,2,1,1,0
10,2,19,18,18,2,2,2
0,4,10,5,4,1,1,1
0,1,15,30,47,4,4,10
5,1,19,36,37,3,3,3
8,2,18,31,31,3,3,3
9,7,13,21,19,2,2,3
9,7,12,10,8,1,1,0
8,2,18,33,29,3,3,3
11,4,18,39,50,4,3,9
10,1,11,14,17,2,2,2
10,1,12,13,18,2,2,0
10,2,11,10,15,2,2,0
2,1,21,25,23,3,3,2
9,3,10,9,14,2,2,0
5,7,19,36,38,3,3,4
3,4,15,28,45,4,4,8
1,1,18,20,23,3,3,1
1,1,22,32,32,3,2,4
1,1,11,8,8,1,1,0
1,1,13,13,15,2,2,1
10,5,12,10,12,2,2,0
4,9,17,29,31,3,3,3
11,3,18,23,23,2,3,0
11,3,13,19,36,4,3,15
11,1,15,20,18,2,2,2
5,5,19,25,23,2,2,3
4,8,14,13,15,2,2,1
5,5,13,11,9,1,0,0
6,5,9,10,18,2,3,4
1,4,11,15,24,3,3,11
