alpha_width_kmeans,delta_freq_freq,u_freq_freq,g_freq_freq,r_width_kmeans,i_kmeans_width,z_width_freq,redshift_kmeans_freq
0,0,34,20,6,29,2,3
7,3,45,23,7,40,2,0
4,9,1,1,1,7,0,0
4,9,17,11,6,36,2,5
4,9,14,9,6,36,2,5
4,9,13,9,4,36,2,5
7,5,38,23,7,47,2,4
7,2,30,22,8,55,2,4
7,8,2,1,2,11,0,0
3,9,2,1,1,3,0,0
2,5,46,18,4,29,1,3
4,5,10,4,2,14,0,1
3,5,36,15,4,29,1,3
4,0,37,15,6,36,2,2
3,0,17,9,6,29,2,0
0,2,33,23,8,55,2,4
0,2,7,2,1,7,0,1
5,7,5,3,2,14,1,0
4,6,15,11,4,40,2,4
4,6,16,10,6,40,2,5
7,2,8,6,3,22,1,0
4,0,46,20,6,36,2,4
7,4,22,10,4,36,2,0
7,4,47,10,3,22,1,2
0,4,47,23,7,40,2,4
0,7,32,23,6,40,2,3
7,1,12,7,3,22,1,1
2,4,29,21,7,55,2,4
4,9,45,23,7,40,2,4
7,8,15,6,3,18,1,0
4,8,24,17,6,51,2,5
4,9,7,1,1,7,0,0
3,9,17,12,6,44,2,5
3,9,16,12,6,44,2,5
2,6,34,17,6,29,1,3
2,6,41,20,6,33,2,3
4,9,27,13,4,29,1,3
3,9,35,15,4,25,1,2
3,4,23,8,3,18,1,2
4,0,37,12,4,25,1,3
3,0,10,3,2,14,0,0
2,9,32,18,6,33,2,3
0,4,35,17,4,29,2,3
7,4,26,22,6,36,2,3
0,4,22,8,3,18,1,2
0,4,8,2,2,7,0,1
0,4,47,16,6,29,2,3
3,5,32,21,7,51,2,3
3,5,47,21,6,36,2,4
7,3,3,1,1,7,0,0
7,3,7,4,3,18,1,1
4,5,13,5,2,11,0,1
2,9,25,14,6,51,2,5
2,9,13,9,6,40,2,5
2,9,11,9,4,36,2,5
3,6,14,11,6,40,2,5
4,6,22,12,6,40,2,0
7,3,5,4,2,18,1,0
3,4,33,21,7,51,2,4
3,4,8,6,3,18,1,1
3,4,32,7,3,18,1,1
4,7,41,21,6,33,2,3
3,6,29,15,6,44,2,4
4,6,18,14,6,44,2,4
3,6,18,10,6,36,2,0
5,7,14,5,2,14,0,1
0,0,28,21,6,36,2,4
0,0,4,6,3,25,1,3
0,0,14,10,6,40,2,5
0,0,35,13,6,44,2,0
3,0,42,19,6,33,2,3
2,9,28,24,7,40,2,4
7,2,47,23,8,51,2,4
7,6,42,20,6,33,2,0
3,9,8,2,2,7,0,0
6,9,6,3,2,14,0,0
2,9,6,4,2,18,1,0
7,7,2,2,2,7,0,0
4,1,39,14,4,25,1,3
3,7,28,23,6,40,2,4
3,2,21,15,6,36,2,4
0,0,8,3,2,7,0,0
0,0,5,2,2,7,0,0
0,0,10,6,3,18,1,1
3,2,1,1,1,7,0,0
3,2,3,1,1,3,0,1
3,4,22,11,4,25,1,3
2,7,5,2,2,7,0,0
2,7,34,23,6,33,2,4
7,2,41,24,8,47,2,4
5,2,8,7,4,25,1,5
0,0,6,2,2,7,0,0
4,8,33,14,4,22,1,0
4,9,2,4,3,22,1,5
7,9,1,0,0,0,0,0
4,9,24,13,6,44,2,5
4,9,25,13,6,40,2,0
4,9,17,14,6,44,2,5
2,7,25,18,7,51,2,4
2,4,22,16,6,47,2,4
2,3,19,7,3,18,1,1
2,8,27,21,7,40,2,3
2,8,21,8,3,18,1,2
2,8,40,23,7,40,2,4
4,9,1,1,1,7,0,0
5,8,30,7,3,18,1,2
0,2,17,11,6,44,2,5
7,2,14,8,4,36,2,5
3,4,40,18,4,29,2,3
4,8,47,24,7,44,2,0
4,9,16,12,6,44,2,5
3,9,44,23,6,40,2,3
4,9,42,18,6,36,2,4
4,4,11,4,2,14,0,1
0,2,44,24,7,51,2,0
2,9,45,20,6,33,2,3
0,4,21,8,3,22,1,1
3,9,11,4,2,11,0,1
4,9,8,3,2,7,0,1
7,7,32,12,6,36,2,0
2,9,5,4,3,18,1,0
2,0,0,0,0,0,0,0
6,0,15,7,3,22,1,0
5,7,11,8,4,40,2,0
5,8,18,9,4,36,2,0
5,8,45,23,7,40,2,0
2,9,30,20,6,40,2,3
0,0,44,24,8,55,2,4
4,9,29,11,4,25,1,0
4,9,22,12,6,40,2,0
7,5,42,16,4,29,1,2
7,6,46,23,7,44,2,3
3,4,45,21,6,33,2,3
7,2,14,20,6,47,2,4
2,1,0,0,0,0,0,0
4,4,22,10,3,22,1,2
3,5,39,21,6,36,2,3
0,0,12,7,3,22,1,1
0,0,15,4,2,11,0,1
3,2,25,17,6,33,2,3
3,9,18,9,4,36,2,0
3,9,17,10,6,44,2,5
0,0,47,20,6,36,2,3
3,9,42,23,6,29,1,0
4,4,19,7,3,11,0,0
4,9,1,1,1,3,0,0
4,5,37,14,6,44,2,1
0,0,33,20,7,55,2,5
7,0,11,7,4,29,2,5
4,8,46,22,6,47,2,0
3,2,28,15,4,29,2,3
7,4,5,2,2,14,0,0
7,4,5,3,2,14,1,0
7,4,24,14,6,44,2,5
5,7,1,1,1,7,0,0
0,0,43,19,6,33,2,3
0,0,33,21,6,36,2,3
7,2,25,12,4,29,2,1
2,4,29,12,4,29,1,2
5,8,42,20,6,33,2,3
0,4,39,18,4,29,2,3
0,6,1,2,2,11,0,1
2,4,34,16,4,29,1,3
2,4,5,1,1,7,0,1
4,0,43,20,6,33,2,3
3,0,15,5,2,14,0,1
4,0,27,11,6,36,2,1
2,8,16,4,2,7,0,0
0,1,14,6,2,14,0,1
4,0,2,1,2,7,0,0
5,3,30,12,6,44,2,0
3,4,18,7,3,18,1,2
3,3,27,16,7,51,2,5
0,0,21,8,3,18,1,2
0,0,39,21,7,47,2,4
2,2,3,1,1,7,0,1
2,2,13,4,2,11,0,1
2,3,27,15,6,36,2,4
2,8,42,18,6,36,2,2
4,9,14,10,6,40,2,5
5,8,40,23,6,29,1,0
7,5,21,10,4,36,2,0
5,5,1,0,0,0,0,0
4,7,17,15,7,47,2,4
3,9,10,4,2,14,0,0
7,7,2,1,1,3,0,0
3,9,18,10,4,33,2,4
3,9,8,6,3,22,1,0
4,1,2,1,1,7,0,0
0,0,29,23,7,44,2,4
0,1,46,24,8,58,2,5
3,9,41,16,4,29,2,3
4,4,13,5,2,14,0,1
3,0,3,3,2,14,1,0
2,9,16,9,4,29,2,3
7,5,29,24,7,47,2,4
0,1,11,8,4,33,2,3
0,1,9,3,2,11,0,0
0,1,9,6,3,25,1,0
2,7,19,18,7,47,2,5
7,4,15,4,2,11,0,0
7,4,7,7,4,29,2,5
5,9,4,6,3,22,2,1
7,3,36,18,7,55,2,1
7,2,12,9,4,29,2,5
2,9,25,17,6,36,2,4
5,7,10,4,2,11,0,1
4,1,3,6,4,36,2,5
7,5,48,21,6,33,2,3
2,7,41,24,7,44,2,4
3,5,16,6,2,14,0,2
3,3,31,8,3,18,1,2
2,9,27,18,6,36,2,3
5,5,25,21,6,36,2,2
7,5,23,18,7,51,2,5
0,2,45,24,7,44,2,4
4,7,24,10,3,22,1,2
4,7,16,10,6,40,2,4
4,6,25,19,7,51,2,5
5,5,9,7,4,29,2,5
4,4,10,6,3,18,1,1
3,0,8,3,2,14,0,1
2,9,24,13,4,25,1,2
3,9,7,3,2,7,0,1
0,0,44,10,3,22,1,2
7,0,33,12,4,29,2,2
7,0,47,20,6,33,2,3
3,5,10,2,1,7,0,0
7,6,47,24,6,36,2,4
4,4,32,20,6,36,2,3
2,7,45,24,7,40,2,4
2,7,5,6,3,22,1,2
2,9,26,17,6,44,2,4
4,1,28,15,6,47,2,0
4,1,0,0,1,7,0,0
4,1,10,7,4,33,2,5
4,1,3,3,2,18,1,0
4,1,17,11,6,44,2,5
3,6,19,12,6,40,2,2
4,7,13,8,4,33,2,5
4,7,4,1,2,7,0,0
7,3,3,4,3,22,1,4
2,7,23,15,6,44,2,5
4,9,33,18,6,36,2,3
0,4,20,6,2,14,0,1
7,4,13,6,3,14,0,1
7,4,13,6,2,11,0,1
3,5,32,9,3,22,1,2
5,7,23,15,6,47,2,4
7,2,26,19,7,55,2,4
3,5,22,20,6,29,1,4
2,3,8,3,2,7,0,1
2,8,48,22,6,36,2,4
3,9,11,5,2,14,0,1
3,9,27,22,6,33,2,3
0,4,19,11,6,33,2,2
0,2,25,17,7,51,2,4
4,6,22,7,3,14,0,2
7,3,31,20,6,33,2,3
7,3,38,12,4,25,1,0
2,6,26,11,6,40,2,0
4,5,18,7,2,14,0,1
2,9,28,20,7,51,2,2
3,5,8,6,3,22,1,0
3,5,5,3,2,18,1,0
2,9,8,6,3,25,1,5
3,8,33,15,6,44,2,5
4,5,40,15,4,29,2,3
3,4,7,2,1,7,0,1
5,4,7,4,2,14,1,1
2,9,12,9,4,36,2,5
2,9,13,6,3,22,1,0
3,9,13,7,4,29,2,0
3,9,19,14,6,47,2,5
0,4,21,14,4,25,1,2
3,5,29,17,6,33,2,1
4,7,40,24,7,40,2,4
4,7,18,10,6,40,2,5
3,6,42,15,6,40,2,5
3,4,26,9,3,22,1,2
7,1,34,22,8,58,2,5
5,9,0,0,0,0,0,0
2,9,25,9,3,22,1,2
2,9,27,19,6,29,2,4
2,9,11,5,2,14,0,1
4,9,15,12,6,40,2,5
2,7,47,22,6,40,2,0
3,3,45,20,6,36,2,3
3,9,3,2,2,11,0,0
2,8,30,23,6,36,2,4
7,5,4,1,1,7,0,0
0,1,12,8,4,22,1,0
0,1,24,15,6,47,2,5
0,1,11,8,4,36,2,5
3,7,23,10,3,22,1,2
7,3,15,6,3,18,1,1
3,9,5,6,3,25,1,5
0,2,41,24,8,58,2,2
2,9,15,10,6,40,2,4
3,9,24,15,6,47,2,5
4,6,36,15,7,47,2,0
7,5,22,20,6,36,2,3
3,9,48,14,4,25,1,3
0,2,32,21,7,47,2,4
0,2,40,21,7,51,2,4
2,9,42,24,8,29,1,0
5,4,36,18,6,44,2,2
5,8,4,1,1,3,0,1
3,5,3,0,0,0,0,0
2,9,11,9,4,33,2,5
7,3,36,12,4,36,2,0
7,1,42,24,7,47,2,4
6,8,15,6,3,22,1,0
7,5,23,23,7,40,2,3
4,6,3,1,2,11,0,0
4,6,4,5,3,25,2,0
0,1,36,24,8,55,2,4
4,9,25,17,6,44,2,3
5,3,6,6,3,18,1,1
3,4,29,10,3,22,1,2
3,5,25,9,3,22,1,2
3,4,31,17,4,29,2,3
2,9,2,2,2,11,0,5
7,2,31,14,4,25,1,2
5,7,6,4,3,22,1,0
5,7,18,7,3,22,1,0
7,4,6,4,2,18,1,0
2,9,39,20,6,36,2,3
4,9,34,24,6,40,2,4
7,4,31,10,3,22,1,2
7,4,24,15,6,33,2,4
0,4,9,2,2,7,0,1
0,7,27,15,6,33,2,2
5,8,5,1,1,7,0,1
4,9,48,20,6,33,2,3
3,9,28,14,4,25,1,2
3,9,27,11,4,22,1,2
3,0,1,0,1,3,0,0
2,9,37,16,6,44,2,1
3,9,13,4,2,14,0,1
0,2,46,22,6,36,2,4
7,0,33,15,4,25,1,3
7,0,17,7,2,14,0,1
2,4,8,4,2,14,0,1
5,4,7,4,2,14,0,1
2,8,33,20,6,33,1,0
0,5,39,15,4,29,1,2
4,9,35,18,6,29,2,3
4,9,39,18,6,29,1,3
5,7,22,10,4,36,2,0
2,9,29,18,6,47,2,2
3,9,43,21,6,40,2,1
3,9,27,15,6,51,2,2
2,9,42,14,4,33,2,1
3,9,20,7,3,14,0,0
5,5,12,6,3,22,1,0
0,2,9,4,2,18,1,0
4,9,42,21,6,36,2,3
4,9,33,13,4,25,1,3
3,2,7,2,1,7,0,1
0,5,44,24,7,44,2,4
5,8,21,12,6,47,2,5
0,6,16,10,6,40,2,4
3,3,2,4,3,25,2,0
7,4,40,21,6,40,2,4
2,8,21,20,6,36,2,3
3,9,34,10,4,36,2,4
4,7,29,23,6,40,2,4
3,9,47,21,6,33,1,0
0,0,44,24,7,44,2,4
4,2,1,1,2,11,0,0
4,2,12,5,2,14,0,1
2,2,39,17,6,33,2,4
3,2,38,14,4,25,1,3
3,2,36,14,4,29,1,3
2,2,12,2,1,7,0,1
2,7,6,4,2,18,1,0
2,9,20,13,6,47,2,5
2,9,11,7,3,25,2,0
4,3,3,5,3,22,1,3
4,2,2,1,1,7,0,1
4,3,43,21,6,36,2,3
3,5,8,6,3,22,1,0
2,9,8,7,4,29,2,5
2,9,23,16,7,47,2,4
0,0,10,8,4,33,2,5
0,0,21,11,6,47,2,5
4,9,24,17,7,51,2,5
7,4,2,1,2,7,0,0
2,9,34,16,4,29,1,2
2,9,42,22,6,36,2,3
4,9,22,16,6,47,2,5
4,9,14,12,6,44,2,5
5,9,33,18,7,51,2,0
3,9,44,18,6,29,1,3
4,5,11,5,2,14,0,1
3,0,7,3,2,11,0,1
2,1,0,0,0,0,0,0
0,1,10,6,3,22,1,0
7,5,30,11,4,25,1,0
3,9,20,12,6,47,2,5
7,8,1,0,1,3,0,0
2,9,25,13,4,25,1,3
2,9,18,10,3,22,1,3
0,2,40,21,6,36,2,3
7,5,25,19,7,44,2,5
3,8,3,1,1,3,0,1
3,8,29,15,4,29,1,3
3,9,20,9,3,22,1,2
4,5,9,6,3,22,1,1
5,4,9,4,2,14,0,1
3,5,42,21,6,33,2,4
3,2,32,17,4,33,2,3
7,3,17,10,4,33,2,5
4,5,19,11,4,25,1,3
2,9,6,5,3,22,1,0
2,9,36,13,6,40,2,0
3,9,23,17,7,51,2,4
4,1,8,5,3,29,2,0
4,1,2,3,3,22,1,4
3,6,3,5,3,22,1,4
4,7,39,9,3,22,1,2
7,1,35,22,7,55,2,4
7,2,19,14,6,44,2,5
7,2,13,7,4,29,2,0
7,2,19,12,6,44,2,1
2,3,16,6,2,14,0,1
3,4,29,9,3,18,1,2
2,9,7,3,2,11,0,0
2,8,42,21,6,36,2,3
2,9,48,23,6,36,2,3
0,2,23,18,7,47,2,4
2,9,42,24,9,55,2,0
0,2,4,3,3,18,1,0
4,9,11,5,2,14,0,1
5,7,19,14,6,47,2,5
1,1,18,9,4,25,1,2
7,4,16,7,3,25,1,0
0,2,18,5,2,7,0,0
0,1,10,1,1,3,0,0
3,7,15,10,6,44,2,4
3,7,17,10,6,44,2,5
3,6,8,5,3,18,1,0
3,5,36,21,6,36,2,3
4,1,18,10,6,40,2,5
7,2,27,16,4,29,2,3
2,8,41,11,4,22,1,0
2,9,10,7,3,25,1,0
6,9,9,3,2,11,0,0
3,9,10,5,2,14,0,1
2,8,46,21,6,36,2,3
0,0,19,12,6,44,2,0
2,8,37,17,4,29,2,3
4,7,35,17,4,29,2,3
5,8,13,7,6,47,1,0
4,9,2,3,2,18,1,0
4,9,45,20,6,47,2,2
3,9,17,12,6,40,2,5
6,0,35,14,4,25,1,0
5,9,26,18,6,36,2,3
7,2,32,10,3,22,1,2
5,8,24,22,7,44,2,4
3,2,31,22,6,36,2,4
2,2,3,2,2,11,0,0
2,2,6,2,1,7,0,1
0,4,44,18,6,33,2,3
0,6,46,21,6,36,2,3
7,3,20,6,2,14,0,0
3,2,41,17,4,29,2,3
4,1,36,14,6,44,2,0
5,7,13,7,4,25,2,0
7,2,26,17,7,55,2,5
7,0,42,21,6,36,2,3
3,5,32,16,7,55,2,0
3,6,19,12,6,44,2,5
3,6,26,15,6,47,2,5
3,7,14,8,4,29,2,5
4,6,16,11,6,40,2,5
4,1,7,4,3,18,1,0
4,6,24,15,7,51,2,5
3,6,16,10,6,40,2,3
4,6,18,4,2,11,0,0
7,3,10,6,3,22,1,0
7,3,16,9,4,36,2,0
6,4,0,0,0,0,0,0
0,0,26,15,6,51,2,0
2,4,2,1,2,7,0,0
7,6,25,8,3,18,1,2
2,8,9,4,2,14,0,1
3,9,16,7,3,25,1,0
7,2,21,21,7,47,2,4
7,8,5,1,2,7,0,0
7,7,1,1,2,11,0,0
3,0,35,9,3,18,1,2
4,0,39,12,4,22,1,3
4,0,28,17,6,33,2,3
4,0,38,18,6,33,2,3
3,9,44,10,3,22,1,2
4,5,12,4,2,11,0,1
3,4,13,6,2,14,0,1
3,9,43,20,6,36,2,3
2,6,8,2,2,7,0,1
3,4,31,21,7,47,2,4
3,5,35,17,6,33,2,3
3,0,2,1,1,3,0,1
3,5,22,9,3,22,1,2
2,7,28,23,6,29,1,4
2,7,4,3,2,14,2,0
2,9,11,9,4,33,2,4
3,9,4,6,3,22,1,5
4,1,2,2,2,14,1,0
4,1,5,3,2,14,0,0
0,1,21,10,4,33,2,2
2,4,43,18,6,33,2,3
7,7,24,7,2,14,0,0
5,5,39,17,6,29,2,3
2,9,46,20,6,33,2,3
0,2,5,1,1,3,0,0
0,1,33,21,7,51,2,5
0,1,23,7,3,14,0,0
4,7,5,3,2,14,0,1
4,4,32,15,7,51,2,0
2,9,40,15,6,47,2,5
3,9,13,9,4,36,2,5
7,0,42,20,6,36,2,4
0,0,43,13,4,25,1,2
4,0,43,23,6,36,2,3
3,0,24,9,3,22,1,2
3,5,46,21,6,33,2,4
3,4,42,22,6,40,2,4
0,2,31,21,7,47,2,4
7,1,41,23,7,55,2,4
0,2,16,11,6,51,2,0
0,2,23,14,7,44,2,5
0,2,24,18,7,55,2,5
4,7,20,14,6,44,2,5
4,6,1,1,1,7,0,0
7,3,15,8,4,29,2,0
0,2,45,14,4,25,1,3
6,5,26,10,4,33,2,0
2,9,43,23,7,40,2,0
5,4,38,21,6,36,2,3
0,2,18,14,6,36,2,4
3,7,17,10,6,44,2,5
2,6,7,7,4,33,2,0
3,7,9,6,3,25,1,0
7,6,1,0,0,0,0,0
3,9,23,21,6,36,2,4
6,8,2,1,1,7,0,0
3,9,25,23,6,40,2,4
3,9,25,21,6,36,2,4
4,4,11,4,2,14,0,1
3,4,36,18,6,33,2,3
2,9,28,21,6,40,2,4
7,2,16,9,4,33,2,0
7,4,14,9,4,36,2,5
7,3,27,16,6,51,2,5
2,9,20,6,2,14,0,1
5,5,26,12,6,51,2,0
3,5,31,17,6,36,2,3
2,9,11,9,4,33,2,5
2,9,12,9,4,33,2,4
4,1,6,3,2,14,1,0
3,6,5,6,3,25,1,2
7,3,19,9,4,29,2,0
4,9,19,10,4,33,2,3
0,2,18,11,6,36,2,0
3,2,38,10,4,22,1,2
5,7,37,13,6,44,2,0
3,9,29,18,6,47,2,2
3,9,24,9,3,25,1,0
0,0,4,1,1,3,0,0
0,2,36,17,7,51,2,0
3,7,38,17,6,44,2,0
7,1,42,24,8,55,2,4
5,7,5,3,2,14,0,0
7,0,29,18,7,51,2,5
7,2,20,15,7,47,2,5
0,0,14,9,4,36,2,5
5,5,30,16,7,47,2,4
5,5,21,12,6,47,2,5
5,5,7,6,3,22,1,0
0,1,34,11,4,33,2,0
2,6,19,11,6,40,2,5
2,6,15,10,6,40,2,4
3,7,9,8,4,33,2,5
2,8,45,21,6,29,1,0
2,9,24,12,6,40,2,0
6,9,2,1,1,3,0,0
2,9,21,15,4,25,1,3
1,1,3,2,2,11,0,0
0,1,35,11,4,22,1,0
2,6,33,22,7,36,2,0
2,7,18,11,6,47,2,0
0,0,14,8,4,36,2,0
5,6,21,8,3,18,1,2
5,7,40,11,4,25,1,0
5,6,15,5,2,14,0,1
2,5,34,24,7,55,2,4
5,8,13,9,4,36,2,5
7,2,35,14,4,25,1,3
0,1,14,9,4,33,2,3
0,1,4,2,2,7,0,0
3,2,45,16,4,29,2,3
3,2,1,0,0,0,0,1
3,2,1,1,1,7,0,1
3,0,25,12,4,22,1,3
7,6,37,21,6,40,2,0
2,6,40,12,4,22,1,0
2,8,41,23,6,36,2,4
2,9,24,9,3,22,1,2
4,7,33,20,6,36,2,3
0,0,26,20,7,55,2,5
3,5,32,13,4,25,1,2
7,3,12,7,3,25,1,0
0,0,29,21,7,51,2,4
7,3,8,3,2,7,0,1
3,4,45,21,6,36,2,4
0,2,16,10,6,40,2,5
7,2,19,14,6,47,2,4
2,3,17,9,4,33,2,0
3,3,23,12,6,36,2,4
0,4,44,24,6,40,2,4
4,9,41,20,6,33,2,3
3,9,4,3,2,11,0,1
2,7,3,1,1,7,0,0
3,9,28,15,6,44,2,0
4,1,1,1,2,11,0,0
4,3,4,3,2,11,0,1
4,3,8,3,2,11,0,0
3,2,3,4,3,22,1,3
4,9,16,7,4,25,1,0
4,7,31,23,6,36,2,3
3,6,19,15,6,51,2,4
4,9,15,10,6,36,2,5
4,0,13,4,2,11,0,1
4,0,7,4,2,14,0,1
4,0,12,3,2,11,0,1
0,5,26,17,7,51,2,5
0,6,18,10,6,44,2,5
5,8,27,15,6,44,2,4
5,5,41,18,6,33,2,3
3,9,11,5,2,14,0,0
3,6,19,12,6,44,2,5
4,7,10,9,4,36,2,4
5,4,2,1,1,7,0,0
2,7,12,5,2,14,0,1
2,3,24,12,6,47,2,0
2,9,28,17,7,55,2,5
7,1,12,7,3,25,1,0
3,9,37,14,4,25,1,0
3,9,13,9,4,36,2,4
7,1,31,18,6,33,2,3
0,1,15,8,4,29,2,1
3,3,37,22,6,36,2,4
3,9,47,20,6,33,2,3
3,9,36,21,6,36,2,4
3,5,9,5,2,14,0,1
4,4,24,14,6,33,2,4
3,2,34,14,4,29,1,3
6,0,14,3,2,11,0,0
2,9,28,24,6,33,2,4
2,9,45,23,6,36,2,4
5,6,9,6,3,29,2,0
0,0,21,17,6,40,2,4
3,2,25,20,6,36,2,4
3,2,0,0,0,0,0,0
0,4,24,8,3,18,1,2
0,6,33,22,6,33,2,3
0,6,19,7,3,18,1,2
3,5,48,19,6,36,2,3
3,5,5,3,2,18,1,0
2,9,3,1,1,7,0,0
2,9,6,4,2,14,1,0
2,8,42,18,6,47,2,0
2,9,33,12,4,22,1,0
2,7,18,12,6,44,2,4
2,9,35,20,6,33,2,3
2,9,45,17,4,29,1,3
2,9,17,10,4,29,2,3
5,4,46,18,6,29,1,0
2,9,33,21,6,36,2,3
2,9,46,13,4,25,1,2
3,6,29,17,6,33,2,3
4,6,4,2,2,14,0,0
3,6,40,12,4,22,1,3
4,7,41,16,6,33,2,3
7,3,37,22,6,40,2,4
7,3,39,15,4,25,1,3
3,7,22,19,7,51,2,4
2,6,24,10,4,33,2,0
5,4,7,5,3,22,1,0
7,3,3,2,2,11,0,0
7,6,34,23,7,40,2,4
5,8,22,14,6,47,2,5
3,2,29,17,6,40,2,3
7,5,21,16,7,51,2,5
2,7,28,24,7,44,2,4
2,7,7,2,2,7,0,1
2,7,2,1,1,7,0,0
4,9,3,7,4,36,2,0
4,9,16,7,3,25,1,0
4,3,11,7,4,29,2,0
4,3,2,1,2,11,0,0
4,3,4,3,2,14,0,0
3,5,13,9,4,36,2,4
3,5,4,4,3,18,1,0
3,5,8,3,2,11,0,0
3,6,31,21,7,51,2,4
3,3,33,15,6,25,1,4
4,8,16,12,6,44,2,5
2,8,40,24,7,44,2,4
2,9,45,24,7,40,2,4
2,9,40,23,6,36,2,4
4,9,32,20,6,40,2,4
4,9,16,11,6,44,2,5
0,2,35,23,7,44,2,3
3,5,36,20,6,33,2,4
7,2,16,9,4,36,2,0
2,2,12,4,2,11,0,1
0,4,37,19,4,29,1,3
7,2,21,21,6,29,1,3
0,1,12,7,4,29,2,0
0,1,40,12,4,29,1,0
0,1,38,13,4,29,1,0
0,1,7,5,3,22,1,0
0,1,6,4,3,22,1,0
7,1,13,6,3,22,1,0
7,1,32,17,4,29,2,3
5,7,18,15,6,47,2,5
5,7,19,15,6,47,2,5
5,7,21,9,4,29,2,0
7,2,20,14,6,47,2,5
0,4,29,23,6,40,2,3
7,8,30,11,4,33,2,0
7,7,32,9,4,25,1,0
3,9,39,12,4,25,1,2
2,5,48,7,3,14,0,2
3,5,31,17,4,29,1,3
4,4,3,1,1,7,0,0
7,3,4,4,2,18,1,0
3,8,44,24,7,44,2,4
4,5,30,18,6,33,2,3
4,0,13,4,2,11,0,1
2,9,21,15,6,47,2,5
0,4,16,7,3,18,1,2
3,5,43,18,6,29,1,3
3,5,33,20,7,51,2,4
2,6,19,9,4,29,2,0
2,8,31,22,6,36,2,3
3,9,31,14,7,44,2,4
4,0,48,21,6,44,2,0
4,0,23,11,6,40,2,0
5,8,28,18,6,36,2,4
3,9,29,20,6,44,2,4
0,4,6,2,2,7,0,1
4,9,44,19,6,33,2,3
3,4,0,0,0,3,0,0
3,4,13,6,2,14,0,2
7,0,0,1,2,14,0,5
7,2,15,12,6,40,2,5
7,2,22,16,6,47,2,5
4,7,12,9,4,36,2,0
5,4,13,6,3,22,2,0
0,5,21,8,3,25,1,0
5,7,3,1,2,11,0,0
5,7,20,12,6,44,2,5
3,7,27,24,7,40,2,4
4,6,28,20,6,36,2,4
4,7,40,20,6,33,2,3
3,7,9,8,4,33,2,5
2,6,18,14,6,47,2,5
2,7,43,20,6,36,2,4
2,9,43,20,6,36,2,3
5,7,12,4,2,11,0,1
4,7,19,12,6,47,2,5
2,5,46,21,6,33,2,4
3,2,13,6,2,14,0,1
3,8,0,0,0,0,0,0
0,0,30,15,7,47,2,1
0,0,24,14,6,47,2,0
4,7,16,7,4,25,1,0
4,1,12,6,3,18,1,0
1,1,13,3,2,11,0,0
0,1,2,2,2,14,0,0
6,2,0,0,1,7,0,0
5,5,40,13,4,25,1,2
7,3,14,4,2,11,0,0
5,4,27,20,6,33,2,4
5,4,27,9,3,22,1,0
5,7,24,18,7,55,2,3
3,3,42,24,6,36,2,4
7,7,5,3,2,18,1,0
4,7,17,11,6,36,2,3
3,9,23,20,7,55,2,5
4,1,24,12,6,47,2,0
3,6,17,13,6,44,2,5
0,0,19,14,6,47,2,4
0,0,10,8,4,33,2,5
0,0,14,9,6,36,2,4
0,0,21,18,7,51,2,4
0,2,48,18,6,33,2,3
3,8,21,12,4,29,2,4
3,9,46,22,7,40,2,4
0,5,38,10,4,22,1,3
0,1,20,13,6,40,2,4
0,1,2,6,4,33,2,0
0,1,12,2,1,7,0,0
3,6,25,10,3,22,1,2
4,6,24,14,4,25,1,3
5,7,4,2,2,11,0,1
5,5,30,20,6,33,2,3
5,7,18,12,6,47,2,0
5,7,28,16,7,51,2,5
2,9,42,18,6,25,1,0
2,8,34,22,7,44,2,4
2,9,21,7,3,18,1,1
3,9,13,9,4,33,2,5
3,9,5,4,3,18,1,0
0,2,26,22,7,58,2,4
4,3,10,7,4,33,2,4
2,3,4,5,3,22,1,5
0,4,36,23,7,40,2,4
0,1,21,16,7,51,2,5
0,1,23,12,4,25,1,2
0,1,24,9,3,25,1,2
3,9,31,9,3,22,1,2
4,8,4,2,2,7,0,0
3,8,35,19,6,36,2,3
0,2,44,18,6,33,1,0
2,9,42,21,6,33,2,3
1,1,15,6,3,18,1,1
2,8,18,10,6,40,2,5
2,8,19,14,6,47,2,4
2,8,17,5,2,11,0,0
0,2,33,23,7,55,2,4
7,3,21,13,6,47,2,0
7,3,22,15,6,47,2,5
2,9,39,18,6,33,2,3
3,7,40,23,7,44,2,4
0,0,31,9,3,22,1,2
0,0,35,21,7,40,2,3
3,3,25,12,4,25,1,2
3,9,22,7,3,18,1,1
2,6,45,17,4,29,1,3
3,4,42,21,6,33,2,4
3,4,40,23,6,33,2,4
4,0,46,18,6,29,1,4
2,9,27,11,4,25,1,2
7,8,2,1,2,11,0,0
3,7,9,8,4,33,2,5
4,7,3,3,2,18,1,0
4,6,19,10,4,40,2,5
7,3,3,4,3,25,2,0
7,3,6,4,3,22,1,0
2,3,26,23,6,36,2,4
3,5,37,22,6,36,2,4
2,3,3,5,3,18,1,1
2,3,39,14,4,29,2,3
4,7,35,18,6,47,2,2
3,7,43,15,6,47,2,0
0,2,24,21,7,47,2,4
7,5,22,21,6,29,1,3
4,6,32,19,6,33,2,3
3,5,8,4,2,14,1,1
7,3,39,18,4,29,2,2
3,3,20,12,6,44,2,5
3,7,0,0,1,3,0,0
3,7,17,13,6,47,2,5
3,7,46,22,7,40,2,0
