,alpha_kmeans,delta_kmeans,u_width,g_kmeans,r_freq,i_kmeans,z_kmeans,redshift_width
7888,10,18,7,14,9,22,31,26
7889,4,8,10,14,5,15,21,3
7890,4,17,6,11,7,21,33,0
7891,9,20,6,11,6,18,30,16
7892,3,4,13,18,7,15,20,0
7893,8,15,12,21,11,20,29,6
7894,8,6,10,18,8,17,26,6
7895,6,14,10,25,14,28,44,10
7896,5,11,8,16,12,25,37,0
7897,8,15,8,15,11,24,37,0
7898,7,12,9,18,9,18,26,6
7899,8,8,11,18,11,20,30,9
7900,7,8,3,1,0,2,4,0
7901,0,5,10,21,14,30,39,10
7902,4,16,12,21,13,21,29,9
7903,5,17,13,19,10,19,28,6
7904,7,22,11,21,12,20,28,7
7905,5,8,10,15,6,15,22,5
7906,6,10,5,8,3,13,21,0
7907,5,9,9,19,14,27,42,8
7908,10,14,6,7,1,8,14,1
7909,10,13,4,4,1,7,13,1
7910,8,16,8,11,3,10,16,3
7911,9,15,12,15,6,15,22,6
7912,9,14,14,19,10,18,26,7
7913,15,5,7,13,6,18,27,5
7914,6,23,10,17,7,16,25,7
7915,5,9,9,19,13,28,45,11
7916,5,9,9,19,14,26,35,11
7917,11,16,6,11,7,19,31,20
7918,2,15,6,8,3,11,18,0
7919,3,5,3,0,0,1,3,0
7920,0,2,7,16,5,15,21,5
7921,2,5,9,14,5,15,22,4
7922,10,8,3,2,0,4,9,0
7923,4,18,11,18,9,19,29,5
7924,2,5,9,19,14,27,38,0
7925,9,12,10,18,10,18,28,7
7926,9,6,5,7,2,10,16,0
7927,11,16,11,15,6,15,23,6
7928,10,17,9,12,4,13,20,3
7929,9,17,12,21,8,17,26,5
7930,15,5,10,21,14,29,42,16
7931,8,19,9,18,8,17,24,7
7932,14,4,10,17,8,17,25,6
7933,14,4,11,17,7,16,25,6
7934,14,4,10,20,13,23,31,9
7935,4,17,14,17,7,16,23,7
7936,9,4,5,9,4,15,24,7
7937,5,20,12,15,10,22,31,0
7938,5,18,11,20,11,19,28,7
7939,6,21,12,16,7,15,21,7
7940,6,9,5,3,0,2,4,0
7941,5,9,8,13,4,13,20,4
7942,10,12,5,5,1,7,12,0
7943,9,15,9,12,4,12,19,4
7944,9,14,11,14,5,13,20,7
7945,10,13,7,10,2,9,15,2
7946,9,18,9,17,10,21,32,20
7947,9,18,5,7,2,11,19,0
7948,10,18,7,13,8,21,33,20
7949,10,18,7,13,8,22,33,11
7950,10,18,5,5,1,8,14,0
7951,10,18,8,15,11,25,35,28
7952,10,18,6,12,8,23,34,0
7953,5,8,5,6,1,7,12,1
7954,5,8,11,20,11,21,30,6
7955,6,10,7,8,2,9,15,1
7956,5,9,12,19,10,20,29,6
7957,10,18,11,15,10,22,35,0
7958,0,14,7,10,5,16,26,0
7959,8,6,12,20,12,22,32,7
7960,1,8,13,19,9,18,27,6
7961,5,12,6,7,1,7,14,0
7962,6,13,9,20,14,28,38,9
7963,14,10,7,12,7,20,31,0
7964,11,11,10,18,9,19,27,5
7965,15,12,13,21,10,19,27,6
7966,10,12,12,19,10,19,28,6
7967,7,11,10,16,8,18,26,6
7968,15,5,9,17,10,19,30,6
7969,15,5,10,20,14,24,40,11
7970,11,9,12,19,11,19,28,7
7971,4,12,10,20,13,22,30,0
7972,9,18,4,4,0,5,10,0
7973,14,4,10,18,8,18,27,5
7974,6,8,7,10,4,15,24,0
7975,13,7,6,11,5,17,27,15
7976,9,12,10,19,9,19,28,5
7977,15,5,6,6,1,8,13,0
7978,5,9,9,12,4,12,18,4
7979,10,4,3,2,0,4,9,0
7980,7,16,6,7,2,9,15,0
7981,9,17,8,15,12,24,37,21
7982,9,18,8,16,11,24,40,1
7983,6,9,8,15,6,16,25,4
7984,6,10,5,6,1,8,13,1
7985,6,9,10,21,14,27,41,11
7986,5,14,12,14,5,14,22,4
7987,11,16,8,16,11,25,37,16
7988,10,17,9,18,13,27,43,12
7989,10,18,8,15,11,24,39,0
7990,4,17,2,3,2,11,20,0
7991,10,12,12,15,5,15,23,4
7992,11,10,10,17,8,17,24,7
7993,5,20,2,0,0,1,4,0
7994,5,20,11,16,8,18,27,0
7995,10,14,9,13,4,9,10,0
7996,5,18,11,19,10,18,26,8
7997,5,9,6,8,2,9,15,1
7998,6,9,14,18,7,16,24,6
7999,10,13,5,4,0,5,9,1
8000,10,13,6,7,2,9,14,1
8001,15,5,9,21,14,27,40,9
8002,4,15,7,14,8,22,32,15
8003,8,13,10,13,5,14,21,12
8004,10,11,12,14,5,14,22,5
8005,10,10,11,17,7,17,25,5
8006,9,13,5,4,0,5,9,0
8007,7,11,8,10,3,11,17,2
8008,7,11,8,12,3,11,17,4
8009,7,10,6,8,2,8,13,2
8010,7,10,13,15,7,16,26,8
8011,0,4,11,21,14,30,44,9
8012,8,19,8,10,3,10,16,2
8013,2,5,8,12,5,16,25,2
8014,10,8,6,9,2,10,16,1
8015,2,5,9,11,4,12,18,3
8016,14,5,9,21,14,28,39,13
8017,11,10,9,15,6,15,22,5
8018,7,21,7,13,9,22,32,27
8019,11,10,9,14,9,22,33,0
8020,10,11,9,13,4,13,20,3
8021,11,9,6,7,1,7,12,2
8022,12,17,6,9,4,13,22,0
8023,4,18,10,20,10,19,28,5
8024,4,18,9,16,6,16,24,5
8025,4,18,12,18,8,18,27,4
8026,1,2,8,14,5,14,21,5
8027,10,11,7,8,1,8,13,2
8028,10,11,12,13,4,13,20,4
8029,10,10,6,12,8,18,37,1
8030,8,19,9,24,14,22,30,10
8031,6,11,12,13,5,14,20,3
8032,6,11,13,20,11,19,28,7
8033,6,18,13,23,12,21,29,8
8034,5,8,9,13,5,14,22,0
8035,7,6,6,9,4,14,23,0
8036,6,14,7,12,7,19,30,18
8037,9,17,4,5,1,6,11,1
8038,10,17,10,17,8,18,26,6
8039,10,17,8,12,4,12,19,3
8040,8,18,12,17,8,18,27,4
8041,9,17,10,17,7,17,25,6
8042,10,6,12,15,7,19,29,0
8043,1,8,14,18,9,19,26,5
8044,10,17,10,17,12,24,36,28
8045,9,19,9,18,13,28,45,0
8046,6,15,10,21,13,21,30,9
8047,7,15,10,19,9,18,28,6
8048,7,16,4,6,1,9,15,1
8049,6,13,9,16,9,21,30,21
8050,6,10,9,18,8,18,26,5
8051,8,18,11,24,14,23,31,12
8052,11,17,10,16,6,15,23,5
8053,9,18,6,12,6,19,30,17
8054,9,18,7,14,10,23,34,13
8055,10,18,7,13,7,20,32,0
8056,10,18,9,15,10,23,35,0
8057,10,18,7,11,6,19,30,0
8058,5,8,6,7,1,7,11,1
8059,6,9,11,20,14,26,38,11
8060,8,22,6,7,2,11,17,1
8061,8,16,5,6,1,9,15,0
8062,8,15,7,12,14,29,28,0
8063,6,19,11,18,8,17,25,7
8064,4,15,10,17,9,19,26,8
8065,8,15,9,22,14,23,30,9
8066,5,8,9,14,4,12,19,0
8067,7,19,5,7,3,11,18,1
8068,9,18,11,18,9,18,28,6
8069,9,18,12,15,6,15,23,4
8070,9,17,6,6,1,6,11,1
8071,5,9,10,18,8,17,24,6
8072,14,8,8,14,9,22,33,9
8073,8,22,5,6,1,8,13,1
8074,5,8,6,9,3,11,17,1
8075,10,8,10,11,3,11,17,3
8076,7,16,5,7,2,9,15,2
8077,0,10,7,13,8,21,31,24
8078,7,19,11,26,14,26,31,18
8079,11,14,12,21,13,23,34,0
8080,4,17,9,16,9,19,29,6
8081,4,17,6,8,2,10,16,1
8082,7,18,9,16,8,17,25,7
8083,0,14,7,11,5,16,26,0
8084,1,8,9,16,7,17,26,7
8085,15,8,6,8,1,8,12,1
8086,1,2,13,17,8,18,27,7
8087,1,2,10,15,5,15,22,5
8088,10,12,9,12,4,12,18,4
8089,10,12,6,9,3,10,16,1
8090,9,6,2,0,0,1,3,0
8091,5,21,7,12,7,19,30,0
8092,5,21,6,6,1,8,14,0
8093,5,21,8,12,6,18,29,0
8094,5,21,5,11,7,21,34,0
8095,5,21,8,15,11,23,37,25
8096,5,21,4,5,1,9,16,0
8097,10,18,8,10,3,8,11,0
8098,5,9,10,18,10,18,27,8
8099,6,10,10,19,13,24,34,9
8100,5,9,9,19,14,26,43,11
8101,6,10,11,22,14,28,40,7
8102,5,9,10,14,10,20,31,2
8103,7,15,10,19,8,19,41,0
8104,7,8,6,7,1,9,14,0
8105,15,5,11,18,10,19,28,6
8106,14,5,9,18,12,26,37,17
8107,5,9,13,19,14,29,36,10
8108,11,16,6,12,7,20,31,20
8109,5,13,6,6,1,7,11,1
8110,5,14,5,5,0,5,9,0
8111,0,4,11,27,14,29,31,13
8112,0,3,6,12,7,20,32,13
8113,8,13,4,5,1,8,13,1
8114,9,13,7,8,2,9,14,2
8115,7,11,10,16,7,16,24,6
8116,0,7,11,18,10,18,25,0
8117,11,13,5,5,1,6,10,0
8118,13,7,8,14,9,21,32,19
8119,11,15,9,17,8,18,26,5
8120,9,17,4,3,0,5,10,1
8121,10,17,5,6,1,6,10,1
8122,9,17,11,13,4,12,18,5
8123,14,10,6,10,5,17,26,25
8124,6,18,10,20,12,22,29,8
8125,8,18,12,20,11,20,28,7
8126,7,18,13,19,10,18,27,7
8127,6,12,7,15,7,17,27,6
8128,5,13,10,21,12,21,28,8
8129,5,12,10,13,4,13,20,4
8130,6,14,7,12,6,16,25,3
8131,6,14,7,13,7,20,31,15
8132,5,13,10,15,7,17,25,0
8133,6,13,10,13,5,14,22,0
8134,7,17,10,14,8,21,35,0
8135,9,18,8,15,11,25,38,0
8136,10,18,8,17,12,25,37,20
8137,5,9,9,19,14,27,36,8
8138,7,16,6,8,2,10,15,1
8139,6,14,10,13,5,11,15,0
8140,10,6,8,12,7,19,29,32
8141,1,8,9,12,4,12,18,4
8142,14,10,9,15,12,25,36,11
8143,2,5,8,14,7,19,29,3
8144,1,2,12,19,10,20,29,6
8145,1,2,9,19,10,20,27,6
8146,9,12,11,17,7,17,25,5
8147,10,11,5,6,1,8,14,0
8148,9,13,4,2,0,2,5,1
8149,8,13,9,14,5,14,21,4
8150,9,6,4,5,1,8,15,0
8151,8,6,4,4,0,5,9,1
8152,10,13,6,8,2,10,16,1
8153,10,13,4,2,0,2,4,1
8154,10,13,7,8,2,9,14,1
8155,10,13,6,8,2,8,13,2
8156,3,4,11,14,5,13,19,0
8157,9,18,12,20,13,23,30,9
8158,11,10,9,20,10,19,28,5
8159,11,10,13,20,10,19,27,5
8160,11,10,10,15,5,14,21,5
8161,4,8,4,4,1,9,17,0
8162,4,10,9,12,5,14,21,2
8163,14,5,8,17,12,25,39,18
8164,14,5,8,16,12,25,37,10
8165,4,17,7,7,1,6,11,0
8166,11,14,8,13,7,19,28,5
8167,10,16,5,8,4,15,25,9
8168,6,10,10,14,5,14,21,3
8169,6,10,8,14,7,18,27,8
8170,6,10,13,21,11,21,31,6
8171,9,14,8,12,4,12,18,4
8172,10,14,6,8,2,9,15,1
8173,10,13,5,4,0,4,8,0
8174,10,12,6,6,1,7,11,1
8175,10,14,6,7,2,9,15,0
8176,10,14,10,13,4,13,19,4
8177,10,14,10,17,8,16,25,7
8178,10,13,10,17,7,16,25,6
8179,14,10,11,13,6,17,27,0
8180,11,13,12,17,7,18,29,0
8181,9,12,6,8,2,9,15,1
8182,5,20,5,4,0,6,11,0
8183,4,18,9,20,12,22,31,7
8184,4,18,11,17,10,19,26,0
8185,5,19,11,15,6,15,22,6
8186,6,20,9,14,7,16,25,8
8187,7,21,7,7,1,6,10,2
8188,0,1,10,16,8,18,27,5
8189,15,5,10,21,14,28,39,8
8190,15,5,8,18,10,20,29,7
8191,8,18,9,20,11,22,31,6
8192,8,18,8,18,8,18,26,7
8193,8,18,3,2,0,3,7,0
8194,15,5,5,5,0,5,8,1
8195,11,9,7,11,4,12,18,3
8196,11,10,11,12,3,11,17,4
8197,11,10,10,14,5,14,21,4
8198,14,13,12,16,6,16,23,5
8199,15,11,10,20,9,18,25,6
8200,15,10,10,20,10,19,27,6
8201,9,12,7,8,3,10,16,1
8202,8,13,4,4,0,4,8,1
8203,8,13,5,5,0,5,9,1
8204,8,13,6,7,1,8,13,2
8205,6,10,11,19,12,21,34,7
8206,7,11,11,14,4,12,18,2
8207,11,19,8,14,9,22,34,0
8208,4,13,9,21,13,21,29,8
8209,4,7,8,13,9,22,32,30
8210,14,4,9,17,7,16,23,5
8211,14,4,9,15,6,16,23,0
8212,4,7,5,7,3,12,20,0
8213,11,15,9,19,10,19,27,6
8214,4,14,11,22,13,23,33,7
8215,15,5,9,15,11,25,35,30
8216,6,21,12,17,8,18,26,4
8217,6,21,6,8,2,8,14,2
8218,10,20,10,21,11,19,28,7
8219,6,14,8,16,12,25,37,14
8220,4,17,13,19,10,20,29,5
8221,4,8,13,19,10,19,28,6
8222,5,9,13,21,11,20,29,0
8223,6,19,9,20,11,20,27,9
8224,15,13,11,23,13,21,30,6
8225,4,17,8,17,13,26,37,15
8226,4,17,9,14,9,21,32,0
8227,15,11,11,14,6,17,26,0
8228,14,11,11,19,11,22,31,0
8229,9,18,7,12,7,20,33,18
8230,10,18,9,16,12,25,36,0
8231,10,6,12,17,10,21,33,0
8232,8,6,10,19,11,19,29,9
8233,0,8,12,20,11,19,28,6
8234,9,19,9,16,12,25,41,17
8235,5,7,8,16,12,26,36,28
8236,6,14,8,12,7,20,31,0
8237,10,14,4,2,0,1,3,0
8238,10,13,3,1,0,1,2,1
8239,10,13,5,5,1,6,11,1
8240,15,10,5,10,5,17,27,10
8241,3,4,9,13,5,14,20,0
8242,11,11,10,12,4,12,19,0
8243,4,18,11,16,7,18,27,3
8244,7,21,5,6,1,8,13,1
8245,11,8,10,14,6,15,23,0
8246,6,9,9,21,14,27,41,10
8247,11,11,6,12,7,19,31,19
8248,8,18,10,11,3,11,16,3
8249,8,18,9,12,4,13,19,3
8250,2,5,6,9,3,10,16,2
8251,6,6,5,10,5,16,26,10
8252,7,6,4,3,0,5,11,0
8253,15,5,10,16,7,16,23,6
8254,11,10,9,14,5,14,21,4
8255,11,10,12,15,5,15,22,4
8256,5,11,11,14,5,15,23,4
8257,15,5,13,12,4,12,19,4
8258,4,17,9,15,6,15,23,4
8259,4,8,10,15,5,15,23,4
8260,5,8,10,17,9,18,28,6
8261,1,8,10,19,9,18,26,6
8262,6,16,6,8,2,10,15,1
8263,14,10,7,8,2,9,15,0
8264,4,13,12,21,12,22,30,15
8265,5,11,9,20,14,25,36,9
8266,0,8,9,19,9,19,27,5
8267,6,14,7,12,6,16,25,20
8268,5,11,5,5,1,8,14,0
8269,9,21,9,16,8,18,26,6
8270,11,15,11,17,8,18,26,6
8271,5,9,10,19,10,19,26,7
8272,6,10,8,15,8,19,29,7
8273,6,10,10,20,12,21,31,7
8274,5,9,7,9,3,10,16,2
8275,7,15,10,15,6,15,23,5
8276,5,8,5,9,4,13,22,2
8277,10,13,5,5,0,5,9,1
8278,9,12,5,6,1,6,10,1
8279,10,11,9,17,10,19,25,0
8280,10,11,13,14,5,14,22,3
8281,11,9,14,16,6,16,24,5
8282,9,6,5,5,1,7,12,1
8283,15,5,7,14,8,21,32,18
8284,5,18,8,12,5,17,28,0
8285,14,10,7,14,8,20,32,8
8286,5,4,7,14,9,22,31,25
8287,11,18,13,26,14,30,32,0
8288,6,23,4,4,0,6,12,0
8289,11,17,13,24,14,23,30,10
8290,6,6,8,13,8,22,31,29
8291,7,6,5,9,4,16,27,0
8292,7,6,5,3,0,4,8,0
8293,7,6,10,16,12,25,36,0
8294,8,18,5,6,1,6,11,1
8295,9,18,5,4,0,5,9,0
8296,9,18,8,16,8,18,27,7
8297,9,18,9,18,8,18,26,6
8298,9,17,10,17,7,16,24,6
8299,13,7,8,18,13,27,38,17
8300,2,5,9,14,6,16,24,2
8301,14,4,12,23,14,23,31,8
8302,7,17,13,23,12,21,29,7
8303,14,15,13,20,10,18,25,0
8304,11,9,12,18,8,18,26,5
8305,6,15,7,15,10,23,32,4
8306,11,19,10,18,13,31,32,0
8307,10,18,7,15,10,22,33,18
8308,6,10,9,17,7,17,26,5
8309,6,10,11,20,13,24,34,6
8310,5,13,9,12,4,12,19,3
8311,10,17,7,14,10,23,34,11
8312,3,4,12,16,5,13,17,0
8313,7,15,13,17,7,17,25,5
8314,7,15,10,25,14,23,31,10
8315,9,17,8,16,10,23,34,13
8316,9,19,8,14,10,22,38,0
8317,14,10,7,13,7,19,30,0
8318,15,13,10,17,14,27,28,0
8319,4,17,4,4,0,7,13,0
8320,4,17,7,12,7,19,31,19
8321,10,14,5,4,0,4,8,1
8322,10,13,6,7,2,10,16,1
8323,10,12,5,6,1,8,14,0
8324,10,14,9,13,4,13,19,5
8325,10,14,10,19,10,19,28,7
8326,5,18,8,11,5,15,24,0
8327,15,1,8,15,5,15,22,4
8328,0,8,9,26,14,27,30,21
8329,15,8,10,25,14,22,31,9
8330,11,17,8,18,9,19,27,7
8331,9,21,6,7,1,8,12,1
8332,2,13,8,14,8,20,32,0
8333,2,13,3,3,0,5,11,0
8334,8,16,12,22,14,23,31,10
8335,6,19,10,16,6,16,23,5
8336,7,6,4,7,3,12,19,25
8337,7,6,8,14,9,22,32,29
8338,1,6,9,12,4,13,19,3
8339,8,13,5,7,2,11,18,0
8340,8,13,4,3,0,3,6,0
8341,0,4,9,18,13,28,42,9
8342,8,18,8,10,3,11,17,2
8343,9,17,11,19,9,18,26,7
8344,15,5,10,20,14,25,43,10
8345,2,5,8,12,4,12,18,3
8346,15,5,6,12,6,19,31,12
8347,5,21,11,15,6,15,22,0
8348,5,20,6,10,4,13,22,0
8349,5,15,6,8,2,10,15,0
8350,5,15,8,11,4,12,18,3
8351,4,11,9,18,8,18,26,5
8352,8,15,8,16,12,25,37,15
8353,10,11,7,9,3,10,15,2
8354,11,9,12,23,12,22,33,6
8355,6,14,5,7,2,10,17,0
8356,7,20,12,20,8,17,24,8
8357,15,5,11,21,14,26,38,0
8358,2,5,9,16,11,24,37,1
8359,2,5,10,18,14,28,40,30
8360,1,14,7,13,8,21,33,0
8361,1,14,7,11,5,16,26,0
8362,1,13,7,14,9,22,36,13
8363,4,15,7,9,3,10,16,2
8364,5,16,13,23,14,23,31,9
8365,9,18,5,4,0,5,9,0
8366,14,4,11,18,8,19,27,3
8367,14,10,13,23,10,23,25,0
8368,9,9,5,4,0,4,8,1
8369,7,16,6,8,2,9,15,1
8370,9,19,8,17,12,26,40,15
8371,5,21,6,11,6,18,28,30
8372,5,21,9,20,12,20,28,0
8373,1,4,11,15,5,15,23,4
8374,2,4,7,13,6,18,28,2
8375,0,4,7,10,4,12,19,1
8376,0,4,11,19,10,19,28,6
8377,9,19,14,25,14,25,31,11
8378,13,1,3,2,0,3,8,0
8379,13,7,8,10,3,10,17,2
8380,2,5,6,9,3,10,16,2
8381,8,15,10,20,10,19,27,7
8382,2,7,7,9,3,12,19,0
8383,7,15,11,17,8,18,27,5
8384,13,7,13,18,8,18,26,5
8385,15,5,9,17,8,17,26,5
8386,10,12,7,11,4,12,18,2
8387,11,9,11,18,11,20,29,0
8388,8,13,11,18,8,16,25,7
8389,10,11,7,8,2,9,14,2
8390,8,13,7,10,3,11,17,2
8391,14,5,9,18,14,28,42,33
8392,5,20,3,2,0,4,8,0
8393,5,21,3,1,0,2,6,0
8394,5,20,5,10,5,16,26,23
8395,5,9,10,13,4,13,20,4
8396,10,13,5,5,1,6,11,1
8397,14,10,6,10,4,15,25,0
8398,11,10,13,17,6,16,24,5
8399,11,10,14,18,12,21,30,7
8400,11,10,9,14,6,16,24,5
8401,5,10,9,19,10,19,29,8
8402,4,17,9,12,5,14,22,0
8403,15,5,5,9,4,15,24,0
8404,15,5,9,12,4,13,20,3
8405,10,4,12,15,8,19,30,28
8406,1,8,10,15,6,15,22,6
8407,1,8,14,14,5,14,21,4
8408,10,8,7,11,4,12,18,2
8409,10,13,10,18,9,18,26,6
8410,8,18,9,16,8,17,26,6
8411,8,18,11,18,9,17,26,6
8412,4,17,7,8,1,6,10,0
8413,10,6,9,15,10,23,35,33
8414,5,4,13,23,14,23,31,13
8415,9,18,9,16,12,22,32,8
8416,9,18,3,1,0,4,9,0
8417,10,18,2,4,2,12,22,0
8418,6,9,12,19,10,18,26,7
8419,5,8,6,7,2,10,15,0
8420,4,8,6,6,1,6,10,1
8421,10,23,5,7,3,12,19,0
8422,7,22,10,19,10,19,30,6
8423,5,9,7,11,4,12,19,4
8424,5,9,14,15,5,14,21,7
8425,10,13,4,3,0,3,7,1
8426,9,14,11,15,5,15,22,5
8427,10,14,4,3,0,3,6,1
8428,15,10,7,13,8,20,30,24
8429,13,7,13,18,8,16,24,7
8430,0,8,13,15,5,14,21,4
8431,5,6,4,5,1,9,16,0
8432,6,8,8,15,12,25,36,0
8433,6,9,5,9,4,14,22,30
8434,6,9,9,16,11,24,37,0
8435,4,15,9,13,6,17,27,0
8436,5,14,4,4,0,6,12,0
8437,5,19,11,20,11,20,28,6
8438,6,19,6,7,1,8,13,1
8439,1,5,10,21,14,27,40,10
8440,15,12,8,14,5,14,21,4
8441,8,13,6,7,1,7,12,1
8442,8,13,6,8,2,9,15,2
8443,9,13,6,7,1,9,14,1
8444,7,11,9,17,8,18,26,6
8445,11,14,8,15,11,24,37,2
8446,6,16,9,13,4,14,21,4
8447,15,5,9,19,14,29,40,13
8448,2,5,7,11,5,16,25,2
8449,2,5,12,15,6,15,23,4
8450,4,18,11,19,10,19,29,6
8451,11,8,9,16,12,26,36,29
8452,10,18,6,12,6,20,31,29
8453,9,18,12,21,14,23,31,10
8454,8,18,9,16,10,20,29,7
8455,15,11,11,15,6,13,19,0
8456,10,11,9,16,11,21,31,8
8457,10,11,9,17,10,20,29,6
8458,10,11,7,9,2,9,14,2
8459,9,13,3,3,0,6,12,0
8460,7,11,7,13,6,16,22,7
8461,7,11,7,8,1,8,13,2
8462,13,6,8,13,7,20,31,0
8463,11,16,13,24,13,22,31,7
8464,9,18,6,8,2,9,15,2
8465,9,17,12,18,10,18,27,6
8466,6,14,9,13,7,19,31,0
8467,6,15,9,17,13,28,39,0
8468,5,9,8,17,13,23,33,10
8469,6,14,7,12,7,20,30,9
8470,15,8,7,8,1,8,12,2
8471,1,8,9,13,4,12,18,4
8472,1,8,6,7,1,7,11,1
8473,4,17,7,14,8,21,34,17
8474,7,15,13,20,10,19,27,8
8475,15,8,11,27,13,23,30,8
8476,10,17,9,16,14,25,38,0
8477,8,15,12,22,14,22,30,0
8478,10,11,6,8,2,10,16,1
8479,14,5,6,13,7,20,31,17
8480,5,20,8,17,12,26,39,19
8481,5,21,6,9,4,14,23,0
8482,5,22,9,13,7,20,32,0
8483,6,9,10,17,8,17,26,6
8484,10,14,6,7,1,8,14,1
8485,10,14,5,5,1,6,11,1
8486,10,13,6,7,1,8,14,1
8487,9,15,6,7,1,8,13,1
8488,10,14,6,7,2,9,15,1
8489,10,14,8,10,3,10,15,3
8490,10,14,12,19,11,18,26,8
8491,10,18,8,17,12,25,38,23
8492,10,18,7,13,9,21,32,22
8493,6,9,10,19,14,25,42,8
8494,6,9,9,17,10,22,35,6
8495,4,8,6,8,2,10,15,1
8496,6,10,5,6,2,9,15,0
8497,10,23,6,11,6,19,30,10
8498,4,15,9,19,12,20,28,8
8499,5,5,12,22,13,23,32,15
8500,10,18,8,16,11,24,36,18
8501,5,9,10,20,14,29,37,9
8502,9,9,9,15,7,17,24,8
8503,9,19,9,17,13,26,39,8
8504,9,19,8,14,11,25,45,0
8505,9,20,9,15,11,24,34,0
8506,11,14,5,8,3,13,21,0
8507,8,6,7,9,2,10,15,2
8508,6,13,5,10,5,16,26,11
8509,6,14,8,17,13,27,39,20
8510,6,13,5,4,1,4,8,0
8511,15,13,8,11,3,11,17,2
8512,4,17,8,15,12,25,40,0
8513,4,17,8,15,10,21,33,22
8514,4,17,6,9,4,14,22,31
8515,14,8,6,6,0,6,10,2
8516,15,8,6,7,1,7,12,1
8517,13,7,9,15,11,25,36,0
8518,5,9,7,8,2,9,14,1
8519,6,10,5,6,1,7,12,1
8520,9,15,12,17,7,17,25,6
8521,3,4,8,10,3,10,14,0
8522,11,14,8,10,3,10,15,3
8523,11,17,4,7,4,16,28,0
8524,11,15,4,3,0,5,11,0
8525,9,18,5,5,0,5,10,1
8526,9,17,10,15,5,15,22,5
8527,15,5,12,19,13,24,35,10
8528,13,7,11,16,12,25,38,0
8529,4,20,12,19,10,20,29,5
8530,14,5,7,12,7,19,29,6
8531,5,21,4,5,1,9,16,0
8532,6,9,9,20,13,24,34,9
8533,5,14,9,16,9,19,29,8
8534,1,5,6,12,10,25,38,0
8535,14,5,10,19,12,24,35,9
8536,8,13,3,2,0,2,5,0
8537,9,12,4,2,0,2,4,0
8538,4,17,10,21,12,20,29,6
8539,5,8,11,17,7,17,25,6
8540,0,5,7,12,7,20,33,0
8541,0,5,9,19,14,29,40,28
8542,1,5,9,17,13,22,32,9
8543,1,5,6,7,2,11,18,0
8544,1,5,8,14,10,23,34,0
8545,2,5,6,10,5,16,26,0
8546,7,12,10,15,6,15,23,6
8547,0,5,9,18,13,28,39,12
8548,0,5,9,17,13,26,37,2
8549,14,5,8,18,14,29,39,19
8550,9,22,9,16,11,25,36,14
8551,15,9,12,25,12,28,36,10
8552,5,14,4,5,1,9,17,0
8553,6,19,6,8,2,10,16,0
8554,6,14,12,16,7,17,26,0
8555,11,12,4,2,0,3,5,0
8556,10,15,10,15,8,18,27,0
8557,5,9,8,17,10,19,28,7
8558,10,8,6,7,1,8,12,1
8559,9,18,8,15,12,24,36,21
8560,4,17,7,13,7,20,32,16
8561,4,17,7,12,6,18,30,0
8562,4,19,11,26,14,25,31,0
8563,15,8,11,15,5,15,22,4
8564,0,8,11,14,5,14,21,4
8565,9,12,13,14,5,13,20,5
8566,10,12,7,10,3,11,16,3
8567,10,10,7,9,3,10,15,1
8568,9,13,6,7,2,9,14,1
8569,11,8,5,4,0,5,9,0
8570,5,20,11,15,6,14,19,0
8571,5,20,3,1,0,2,4,0
8572,6,10,9,19,8,17,25,7
8573,4,15,8,16,12,24,42,20
8574,10,8,4,5,0,6,11,1
8575,10,17,9,13,4,13,20,4
8576,2,5,11,19,9,19,28,10
8577,10,8,9,13,4,13,20,3
8578,7,7,9,17,8,18,27,5
8579,6,7,11,17,7,16,25,6
8580,7,6,8,14,9,21,30,28
8581,9,13,10,16,6,16,24,5
8582,9,13,4,4,0,5,8,1
8583,7,11,6,7,1,8,13,1
8584,15,5,11,19,10,18,27,8
8585,15,5,6,9,3,11,18,2
8586,4,8,5,7,2,10,17,0
8587,15,8,8,15,11,25,35,0
8588,13,7,9,14,6,17,37,0
8589,9,20,10,15,6,15,23,4
8590,10,11,13,17,9,18,25,7
8591,10,11,9,16,7,16,24,5
8592,10,11,10,18,8,18,25,6
8593,6,13,9,15,12,25,34,0
8594,8,15,13,23,13,23,30,10
8595,15,6,13,16,6,15,22,6
8596,15,6,11,13,5,14,21,4
8597,15,12,12,22,12,21,29,6
8598,0,6,9,19,10,19,28,6
8599,6,14,4,3,0,7,13,0
8600,11,9,13,20,10,19,28,6
8601,4,17,8,21,11,19,28,8
8602,0,14,11,20,13,22,31,8
8603,2,5,6,9,3,11,17,1
8604,2,5,7,13,5,14,22,4
8605,2,5,9,14,5,15,23,3
8606,6,10,10,24,14,30,43,13
8607,6,16,13,23,14,24,31,9
8608,14,8,12,14,5,14,22,6
8609,13,7,12,19,11,19,25,0
8610,6,10,8,17,10,19,31,7
8611,5,8,6,8,2,10,16,1
8612,4,8,14,18,9,18,27,6
8613,8,22,6,8,3,11,17,0
8614,5,9,5,6,1,7,12,1
8615,5,9,10,18,12,25,30,12
8616,9,14,4,4,1,6,12,0
8617,10,13,8,11,4,12,18,3
8618,15,10,3,2,0,4,10,0
8619,4,18,11,17,11,19,26,0
8620,15,5,7,9,3,11,17,1
8621,7,15,9,16,14,26,32,4
