,alpha_kmeans,delta_kmeans,u_kmeans,g_kmeans,r_kmeans,i_kmeans,z_kmeans,redshift_kmeans
27441,4,1,13,14,13,9,7,4
27442,2,3,6,6,4,3,2,2
27443,3,3,10,13,13,9,7,3
27444,2,3,4,4,3,2,2,1
27445,4,4,11,14,13,10,8,4
27446,0,1,7,9,12,12,9,11
27447,0,1,3,6,8,8,8,6
27448,2,4,3,6,8,7,6,8
27449,0,1,7,10,14,13,10,8
27450,6,6,9,9,9,8,7,1
27451,5,7,6,5,5,4,3,1
27452,5,7,3,4,3,2,2,1
27453,6,4,3,4,5,4,3,0
27454,4,7,3,3,3,3,2,0
27455,4,7,7,9,12,11,9,0
27456,5,7,2,2,2,2,1,0
27457,5,7,6,9,12,12,10,5
27458,5,7,1,2,3,3,2,0
27459,3,8,6,5,5,4,3,1
27460,5,3,3,4,4,4,3,1
27461,7,2,4,4,4,3,2,1
27462,9,1,7,9,10,10,9,1
27463,9,1,9,10,12,12,10,2
27464,9,1,10,14,17,15,10,6
27465,1,1,6,7,9,8,7,1
27466,3,3,9,13,12,9,7,4
27467,4,3,9,14,13,10,8,4
27468,7,7,5,5,5,4,3,1
27469,0,0,5,5,6,4,3,1
27470,2,7,7,10,12,11,10,0
27471,6,2,13,14,14,10,8,4
27472,6,2,4,4,4,3,2,1
27473,3,2,11,9,9,6,4,0
27474,8,0,2,2,3,3,3,0
27475,7,5,11,13,12,10,8,3
27476,4,9,4,2,1,1,1,0
27477,9,1,12,15,17,15,11,5
27478,9,1,9,14,15,16,12,1
27479,1,6,7,8,9,8,7,0
27480,1,4,2,2,3,2,2,0
27481,1,4,2,2,3,3,2,0
27482,1,1,9,12,11,9,7,4
27483,8,1,8,9,8,6,5,3
27484,0,4,15,15,16,13,9,5
27485,8,3,5,9,11,11,9,7
27486,0,1,6,9,11,12,10,5
27487,0,1,7,10,13,13,10,11
27488,5,7,1,1,1,1,0,0
27489,7,5,2,1,2,1,1,0
27490,2,3,12,13,11,9,7,3
27491,0,1,6,10,12,12,10,6
27492,0,1,5,8,10,10,8,9
27493,2,4,7,10,13,12,10,8
27494,2,3,12,11,10,8,6,3
27495,2,3,15,12,11,9,7,3
27496,7,3,3,4,4,3,2,1
27497,5,5,14,14,14,10,8,0
27498,3,8,7,6,5,4,3,1
27499,6,8,4,4,6,5,4,0
27500,9,1,7,10,13,12,11,7
27501,5,5,6,9,11,11,10,8
27502,4,4,9,13,16,15,10,5
27503,3,8,10,12,11,8,7,3
27504,2,6,6,5,5,4,3,1
27505,7,3,2,3,4,3,3,0
27506,2,4,11,11,11,8,6,3
27507,3,5,9,12,10,8,7,3
27508,4,5,9,11,11,9,7,3
27509,8,2,9,10,12,11,9,0
27510,2,6,7,10,12,11,9,2
27511,7,1,12,13,12,9,7,3
27512,6,1,3,5,7,6,5,9
27513,3,3,9,14,18,14,11,5
27514,3,3,10,14,16,15,12,5
27515,4,7,5,7,9,9,8,7
27516,4,7,5,7,9,8,7,8
27517,4,7,6,10,13,12,10,9
27518,4,1,10,13,13,9,7,4
27519,7,7,13,9,8,7,5,2
27520,7,7,10,8,7,5,4,2
27521,4,1,10,10,9,8,6,2
27522,0,3,15,11,9,7,6,2
27523,0,3,12,11,9,7,6,2
27524,5,3,6,6,6,4,3,1
27525,1,1,14,13,12,9,7,4
27526,1,6,4,4,4,3,3,0
27527,2,7,3,4,5,5,4,0
27528,8,0,3,4,5,4,3,0
27529,7,5,2,2,3,3,2,0
27530,4,9,8,9,7,6,4,2
27531,3,8,3,7,11,10,13,0
27532,4,5,3,4,4,4,3,1
27533,1,1,9,13,16,14,11,9
27534,4,3,4,3,3,2,1,1
27535,9,3,4,5,6,5,4,0
27536,6,8,7,11,14,13,11,9
27537,2,7,6,8,11,9,8,4
27538,4,2,9,12,12,9,7,3
27539,5,2,11,12,12,10,8,3
27540,8,0,6,7,8,8,7,0
27541,4,9,11,13,13,9,8,4
27542,5,2,7,8,7,6,4,2
27543,9,1,14,18,14,11,9,5
27544,9,1,9,13,16,14,11,6
27545,8,1,11,13,12,9,7,3
27546,6,7,4,4,4,3,3,1
27547,2,3,6,7,9,8,7,0
27548,2,3,11,13,12,10,7,4
27549,6,2,9,12,11,8,7,3
27550,5,1,6,7,9,9,8,0
27551,0,4,8,8,7,5,4,2
27552,0,3,12,12,11,9,7,3
27553,4,6,8,10,11,9,7,4
27554,4,1,1,1,1,1,1,0
27555,7,5,6,8,10,10,8,4
27556,7,5,6,9,12,11,9,4
27557,3,6,15,9,9,7,6,2
27558,4,1,7,8,11,10,9,0
27559,3,3,11,14,15,14,10,4
27560,7,4,5,7,9,8,7,0
27561,3,3,10,12,11,9,7,3
27562,5,6,0,1,1,1,1,0
27563,7,7,2,2,3,3,2,0
27564,3,4,12,13,12,10,8,3
27565,3,5,14,15,14,12,9,4
27566,3,3,11,15,19,14,11,5
27567,4,3,8,14,17,14,12,5
27568,3,6,10,13,13,10,7,4
27569,6,8,9,16,16,13,9,4
27570,3,3,14,13,15,14,13,2
27571,8,2,10,10,9,7,6,3
27572,6,6,11,11,11,8,7,3
27573,5,7,4,4,4,3,2,1
27574,6,7,5,5,5,4,3,0
27575,2,7,9,13,11,8,6,4
27576,6,1,14,11,11,8,6,4
27577,7,6,7,12,11,8,6,4
27578,7,7,12,15,15,12,9,5
27579,3,1,9,8,7,6,5,0
27580,4,7,8,7,7,4,3,0
27581,4,7,9,12,16,15,12,8
27582,4,7,7,9,10,9,8,6
27583,5,7,8,11,14,14,12,0
27584,2,5,4,7,9,8,7,8
27585,8,3,8,9,11,11,8,0
27586,7,4,7,10,14,13,11,9
27587,4,5,5,5,5,4,3,1
27588,8,2,3,4,5,5,4,0
27589,9,1,8,12,14,13,12,5
27590,9,1,6,7,7,6,5,1
27591,9,1,8,12,15,13,11,4
27592,3,2,8,12,12,9,8,3
27593,7,3,12,14,13,10,7,0
27594,2,7,7,8,10,9,8,11
27595,4,1,9,9,9,7,5,3
27596,2,5,8,12,15,14,11,9
27597,2,7,7,6,5,4,3,1
27598,6,8,4,5,5,4,3,1
27599,9,2,8,10,10,7,6,3
27600,1,3,10,14,16,12,9,5
27601,1,3,11,13,15,12,9,4
27602,1,1,9,11,10,8,6,3
27603,3,5,9,8,7,6,4,2
27604,8,1,12,12,10,8,6,3
27605,7,6,12,13,14,11,9,0
27606,6,2,9,11,10,8,6,3
27607,5,9,10,12,11,9,7,3
27608,0,1,4,7,9,8,8,8
27609,6,1,10,12,15,15,12,0
27610,6,6,10,13,12,10,8,3
27611,8,8,3,1,0,0,0,0
27612,4,3,13,14,16,15,11,5
27613,9,3,7,9,10,10,8,0
27614,8,2,14,11,10,9,7,0
27615,8,1,6,6,6,4,3,0
27616,8,1,2,1,1,1,1,0
27617,3,6,11,12,11,8,7,4
27618,8,0,5,7,8,7,7,0
27619,9,1,13,13,11,9,7,3
27620,5,7,8,12,15,14,12,9
27621,5,7,6,9,12,11,9,10
27622,5,7,7,7,6,4,3,0
27623,6,6,2,2,5,5,5,0
27624,8,2,8,12,16,14,11,9
27625,2,3,6,5,4,4,3,0
27626,7,9,6,7,8,7,6,0
27627,0,1,7,9,12,12,10,10
27628,0,1,6,10,12,12,10,7
27629,6,1,12,17,5,5,13,0
27630,6,7,15,13,13,10,8,3
27631,6,5,15,18,13,10,7,4
27632,6,6,3,3,3,2,1,1
27633,6,3,5,5,5,3,2,1
27634,8,3,8,9,11,10,8,11
27635,4,8,10,11,10,8,6,3
27636,3,8,7,8,7,6,5,2
27637,2,7,13,11,11,9,7,3
27638,3,7,10,15,15,12,9,4
27639,7,5,9,14,15,11,9,4
27640,6,5,11,10,9,7,6,3
27641,7,4,11,12,12,9,7,3
27642,0,3,7,9,11,11,9,2
27643,7,5,2,3,5,5,4,0
27644,7,3,3,4,5,4,3,1
27645,2,7,10,13,15,13,10,0
27646,4,7,7,9,12,12,10,5
27647,4,7,5,8,11,11,9,9
27648,4,7,7,10,13,13,11,10
27649,0,2,14,8,7,5,4,2
27650,7,7,3,3,4,3,2,0
27651,7,6,1,2,3,3,2,1
27652,6,2,9,11,12,9,8,4
27653,2,2,1,1,1,1,1,0
27654,7,7,9,12,14,12,9,2
27655,2,7,6,8,9,9,7,1
27656,5,3,3,4,5,4,4,0
27657,6,3,5,7,10,10,9,4
27658,4,2,4,4,3,2,2,1
27659,3,2,4,5,5,4,3,1
27660,4,2,0,0,1,1,1,0
27661,5,2,10,8,7,6,4,2
27662,2,3,11,15,15,12,9,0
27663,6,1,3,4,5,5,4,0
27664,7,5,10,13,13,10,8,4
27665,4,9,13,11,10,8,6,3
27666,6,4,10,13,12,9,7,3
27667,3,1,13,13,11,9,7,3
27668,0,1,5,8,9,8,7,8
27669,5,7,4,6,7,6,5,0
27670,5,7,5,8,10,10,10,7
27671,5,7,9,9,10,8,7,0
27672,7,6,10,10,11,11,10,0
27673,3,3,8,13,14,12,9,4
27674,3,6,9,15,14,11,9,4
27675,3,5,12,12,12,10,8,2
27676,2,3,8,11,14,13,11,5
27677,0,2,5,4,4,3,2,1
27678,0,3,13,11,9,8,6,2
27679,3,8,4,4,4,3,3,1
27680,7,6,4,3,3,2,1,1
27681,7,9,1,1,1,1,1,0
27682,0,1,5,8,11,11,9,4
27683,9,4,8,10,9,7,5,3
27684,0,1,12,11,11,8,6,0
27685,3,5,4,4,3,2,2,1
27686,3,5,1,1,2,2,1,0
27687,3,5,3,4,5,4,4,0
27688,5,3,15,10,9,7,6,3
27689,6,6,5,5,5,4,3,1
27690,2,7,5,8,9,9,8,7
27691,4,1,9,8,7,4,3,0
27692,4,7,11,11,11,9,7,0
27693,1,1,5,6,6,5,4,1
27694,5,9,5,5,5,4,3,1
27695,4,2,4,4,4,3,2,1
27696,3,2,4,4,4,3,2,1
27697,1,4,0,0,1,1,1,0
27698,1,1,10,11,9,8,6,2
27699,5,7,10,17,16,13,9,6
27700,9,1,9,14,13,10,8,4
27701,9,3,7,9,12,12,9,10
27702,3,1,11,12,12,10,8,4
27703,4,1,9,8,7,5,4,2
27704,4,1,11,9,8,6,5,2
27705,0,4,12,16,15,12,9,4
27706,0,3,9,10,10,8,7,2
27707,0,0,5,5,6,4,3,1
27708,9,5,12,15,16,11,9,4
27709,2,3,4,5,7,6,5,0
27710,6,5,5,5,5,4,3,1
27711,6,6,6,9,12,12,10,6
27712,6,4,11,10,9,7,5,3
27713,7,8,1,1,2,1,1,0
27714,7,6,11,9,7,6,4,2
27715,4,4,9,12,15,13,11,5
27716,2,4,6,7,9,9,8,0
27717,2,4,5,6,8,7,6,0
27718,2,9,7,7,7,6,5,0
27719,7,3,3,6,8,7,6,10
27720,7,6,14,15,15,12,9,0
27721,6,6,13,9,8,6,5,2
27722,5,7,3,3,3,2,1,1
27723,5,7,13,12,11,8,6,3
27724,6,3,6,5,5,4,3,1
27725,7,2,9,10,9,7,5,3
27726,3,8,8,11,15,14,12,7
27727,8,0,5,5,6,5,4,0
27728,7,5,10,11,13,12,10,9
27729,3,8,3,3,4,4,3,0
27730,6,2,9,10,10,8,6,3
27731,6,2,9,9,8,7,5,2
27732,7,2,8,7,7,5,4,2
27733,6,2,4,4,4,3,2,1
27734,7,9,3,3,3,2,2,0
27735,3,5,5,5,5,4,3,1
27736,7,5,4,4,5,4,3,1
27737,2,6,10,15,15,12,11,3
27738,2,3,5,5,5,3,2,1
27739,1,1,12,14,15,13,12,5
27740,0,4,11,17,16,12,9,5
27741,3,8,9,16,15,11,8,5
27742,7,3,11,17,14,10,8,4
27743,5,7,7,10,14,13,10,8
27744,5,7,7,11,14,14,11,6
27745,4,7,6,9,12,12,11,6
27746,5,7,8,10,14,13,11,11
27747,4,1,11,9,9,7,5,2
27748,6,2,7,6,5,2,2,0
27749,4,6,5,7,9,8,7,7
27750,5,6,11,10,12,12,10,0
27751,5,6,5,8,10,10,9,7
27752,5,6,8,11,14,14,12,0
27753,9,1,10,14,17,15,12,6
27754,9,1,9,16,16,13,9,5
27755,9,2,7,10,13,13,10,4
27756,9,1,9,14,16,14,11,5
27757,9,1,10,9,9,7,5,2
27758,5,7,9,12,11,9,7,4
27759,2,3,11,9,8,7,5,2
27760,8,1,11,13,13,10,8,4
27761,3,3,14,15,15,12,8,3
27762,3,3,9,15,17,14,13,4
27763,8,1,8,9,11,11,10,0
27764,2,8,7,15,17,12,8,5
27765,4,4,9,11,13,12,9,3
27766,0,1,8,12,15,14,11,6
27767,1,1,8,11,15,14,12,0
27768,2,4,4,4,5,4,4,0
27769,2,4,5,5,6,5,4,0
27770,2,4,7,9,12,11,9,5
27771,7,6,8,11,14,13,10,3
27772,6,6,15,11,11,8,6,3
27773,1,5,5,5,6,5,5,0
27774,7,5,4,5,7,7,6,0
27775,2,3,4,5,6,5,4,1
27776,0,5,5,6,8,7,6,0
27777,9,3,8,9,9,8,6,2
27778,7,2,4,5,5,4,3,0
27779,6,2,5,5,5,4,3,0
27780,3,3,13,17,18,14,10,0
27781,5,1,15,12,12,10,8,3
27782,5,1,11,11,11,8,7,4
27783,2,3,7,8,8,6,5,2
27784,2,4,9,13,12,9,8,3
27785,5,7,3,2,2,2,1,0
27786,5,1,10,11,14,13,11,0
27787,4,1,5,5,5,4,3,1
27788,4,2,12,14,14,10,8,4
27789,2,1,11,8,7,6,4,2
27790,2,4,3,4,5,5,4,0
27791,2,4,6,7,9,8,7,0
27792,9,1,6,8,10,9,8,0
27793,6,5,11,17,15,12,8,5
27794,7,5,10,12,16,15,12,0
27795,3,5,8,12,14,13,10,5
27796,5,7,6,9,11,11,10,5
27797,5,7,6,10,13,12,10,8
27798,6,6,7,10,13,13,10,0
27799,2,6,10,11,14,13,12,0
27800,8,9,4,3,3,2,1,0
27801,7,5,3,4,5,5,4,0
27802,2,3,13,14,14,11,8,4
27803,2,3,10,15,14,11,9,4
27804,2,3,14,11,10,8,6,3
27805,5,7,13,18,16,13,9,8
27806,2,3,7,9,12,12,10,6
27807,2,3,4,6,8,7,7,5
27808,2,3,6,7,8,7,7,0
27809,6,1,15,11,10,7,6,3
27810,7,6,7,7,7,5,4,0
27811,5,7,9,16,16,13,9,5
27812,2,1,4,6,7,6,5,0
27813,2,3,9,14,14,10,8,5
27814,8,1,12,10,9,7,5,0
27815,2,3,12,11,9,8,6,2
27816,5,5,11,15,14,11,8,5
27817,4,9,8,8,8,7,5,1
27818,5,9,5,5,5,4,3,1
27819,2,7,13,13,13,10,7,4
27820,6,4,2,3,5,4,4,0
27821,7,6,5,5,5,4,3,2
27822,7,5,13,12,10,8,6,3
27823,8,4,10,12,11,8,6,3
27824,8,3,9,13,13,10,7,4
27825,3,7,12,14,13,10,8,4
27826,3,8,6,8,10,10,8,4
27827,9,1,13,13,16,13,10,5
27828,9,1,11,13,16,15,11,6
27829,7,5,9,12,11,8,7,4
27830,4,4,8,11,11,8,7,4
27831,6,4,12,5,4,3,2,1
27832,3,4,8,13,16,13,9,5
27833,7,3,5,5,5,4,3,1
27834,6,1,5,8,10,10,8,8
27835,4,7,6,4,4,3,3,0
27836,2,7,3,3,6,6,5,0
27837,0,1,9,14,16,14,11,5
27838,0,1,10,17,18,14,11,5
27839,4,5,4,5,5,4,3,1
27840,7,4,8,11,14,13,11,8
27841,9,1,8,11,13,11,10,4
27842,3,4,10,11,16,12,11,4
27843,4,4,9,13,15,12,10,5
27844,3,1,8,10,8,6,5,2
27845,4,1,8,9,8,6,5,2
27846,2,3,2,1,1,1,0,0
27847,2,3,5,5,6,4,3,1
27848,2,7,2,5,8,9,8,0
27849,7,8,8,10,8,7,6,2
27850,9,1,9,13,16,15,12,6
27851,6,6,7,9,11,11,9,5
27852,7,6,9,10,13,12,10,0
27853,6,7,3,3,3,3,3,0
27854,2,3,9,15,12,8,6,4
27855,2,3,10,12,11,9,7,3
27856,5,2,8,13,12,9,7,3
27857,1,1,6,6,5,4,3,1
27858,3,5,3,2,2,1,1,0
27859,0,1,6,9,11,11,10,7
27860,1,1,5,7,9,9,8,5
27861,2,4,0,0,1,1,1,0
27862,2,4,4,5,6,5,4,0
27863,7,6,7,10,13,12,10,7
27864,7,6,7,11,15,13,11,9
27865,6,6,3,3,3,2,1,1
27866,2,4,8,10,10,8,6,3
27867,3,5,9,15,15,12,9,5
27868,3,5,14,12,15,13,11,6
27869,3,1,11,12,15,14,12,1
27870,8,1,9,12,16,15,13,0
27871,6,8,7,12,16,15,12,8
27872,0,2,10,9,8,6,5,2
27873,8,0,2,5,7,8,7,0
27874,5,5,7,8,10,9,9,7
27875,5,5,7,6,5,3,1,0
27876,5,5,3,5,6,6,5,0
27877,4,8,9,12,11,8,7,3
27878,3,8,8,8,7,6,4,0
27879,7,4,12,13,12,10,8,3
27880,7,8,12,14,13,10,7,4
27881,5,6,11,13,12,10,8,3
27882,7,4,6,6,5,4,3,1
27883,3,1,3,6,8,7,6,8
27884,6,8,13,15,14,11,9,5
27885,6,8,14,14,14,10,8,4
27886,1,0,10,13,17,16,12,6
27887,5,2,12,17,13,10,8,3
27888,4,6,7,11,13,13,11,6
27889,4,6,1,2,3,2,2,0
27890,5,6,2,2,3,3,3,0
27891,6,2,9,13,12,10,8,3
27892,6,2,11,10,9,7,5,2
27893,7,2,11,10,8,7,5,2
27894,2,7,5,7,10,10,8,0
27895,1,3,1,0,0,0,0,0
27896,3,3,8,11,13,12,9,5
27897,3,3,10,13,13,10,8,3
27898,2,3,4,5,4,3,2,1
27899,5,7,2,2,3,3,3,0
27900,5,7,7,8,10,10,9,0
27901,5,7,7,9,12,11,9,8
27902,5,7,7,10,12,12,10,10
27903,5,7,4,8,10,9,9,8
27904,6,6,4,7,9,8,7,8
27905,3,8,10,12,11,9,7,3
27906,2,3,14,17,15,11,8,4
27907,0,1,8,11,13,11,9,8
27908,1,1,4,7,9,8,7,9
27909,7,6,7,11,15,13,11,9
27910,7,3,4,4,6,6,5,0
27911,6,2,10,8,9,8,6,0
27912,9,3,9,10,9,7,6,2
27913,3,5,4,5,5,4,3,1
27914,3,5,8,13,12,9,7,4
27915,2,3,12,15,14,11,9,3
27916,2,3,8,11,12,9,7,4
27917,9,1,13,13,13,10,8,3
27918,9,1,9,10,9,7,5,2
27919,9,1,10,13,13,10,8,4
27920,5,5,11,18,15,11,8,4
27921,5,7,11,12,14,12,9,5
27922,2,6,7,9,10,9,7,3
27923,9,3,11,13,12,9,7,4
27924,9,3,7,7,7,5,4,1
27925,9,3,10,12,11,9,7,3
27926,3,4,4,4,4,3,2,0
27927,0,4,8,11,11,9,7,4
27928,2,6,11,8,9,6,4,0
27929,5,7,8,9,13,13,12,5
27930,7,6,14,13,12,9,7,4
27931,7,6,11,13,12,10,8,4
27932,5,7,6,7,10,10,9,0
27933,9,1,9,13,15,13,10,4
27934,8,9,3,2,2,2,1,0
27935,8,3,8,10,13,13,12,11
27936,6,6,12,17,16,13,8,5
27937,0,1,7,12,16,15,11,9
27938,7,6,8,11,12,12,10,6
27939,8,6,6,6,7,6,5,0
27940,2,2,10,13,13,10,7,4
27941,3,5,10,12,13,11,8,4
27942,0,1,7,10,13,13,11,7
27943,0,1,4,8,10,9,8,9
27944,1,1,8,12,15,14,11,7
27945,1,1,7,10,14,13,11,10
27946,2,4,9,12,16,15,11,10
27947,0,1,9,12,16,15,12,8
27948,0,1,11,11,10,8,6,0
27949,2,7,10,10,9,8,8,0
27950,0,0,4,5,5,4,3,1
27951,2,6,11,15,16,13,9,4
27952,7,6,12,13,13,10,8,4
27953,7,5,8,11,12,10,8,4
27954,7,4,9,11,11,9,7,3
27955,3,5,10,14,14,11,8,3
27956,2,4,10,12,11,9,7,3
27957,2,3,11,14,13,10,8,3
27958,2,3,10,15,13,10,8,4
27959,6,6,8,8,7,6,4,2
27960,6,7,9,12,12,8,7,4
27961,6,6,4,5,5,5,4,0
27962,9,2,8,11,14,13,11,6
27963,7,2,15,13,12,8,6,4
27964,2,3,10,11,11,8,7,3
27965,1,1,8,10,13,12,10,5
27966,5,2,6,9,8,6,5,3
27967,0,0,12,15,15,12,12,3
27968,7,5,0,0,1,1,1,0
27969,7,5,7,11,14,13,10,9
27970,7,4,6,9,11,11,10,6
27971,7,7,9,10,13,11,10,1
27972,3,6,6,10,12,12,10,7
27973,4,4,5,4,4,3,2,1
27974,5,9,7,6,6,4,3,1
27975,5,9,8,7,6,5,4,2
27976,3,8,5,8,11,10,9,10
27977,5,5,1,0,0,0,0,0
27978,7,2,4,5,6,6,5,0
27979,8,3,11,10,9,7,5,2
27980,0,1,7,10,12,11,10,9
27981,4,9,9,11,11,8,7,3
27982,6,4,8,10,12,10,8,4
27983,8,2,7,7,8,8,7,0
27984,4,4,9,10,9,7,6,2
27985,2,2,2,2,3,2,2,0
27986,4,9,14,13,12,9,7,3
27987,0,0,8,12,16,15,12,7
27988,1,0,12,14,17,15,11,4
27989,3,3,9,13,15,13,10,4
27990,4,3,9,13,12,9,7,3
27991,9,2,5,5,5,4,3,0
27992,2,3,10,9,8,6,5,2
27993,1,1,10,11,15,14,11,0
27994,3,5,4,6,7,5,4,1
27995,8,1,13,11,10,8,6,3
27996,8,1,9,13,12,9,8,3
27997,5,7,3,6,8,7,6,3
27998,5,7,8,11,15,15,12,9
27999,6,6,8,11,16,14,11,9
28000,2,4,14,10,9,7,6,2
28001,9,3,11,9,8,6,5,2
28002,7,3,6,7,9,8,7,0
28003,3,5,9,14,17,15,13,4
28004,2,4,9,12,15,13,10,5
28005,4,5,12,15,15,12,9,4
28006,4,5,12,13,12,9,7,4
28007,4,5,14,14,12,10,8,4
28008,4,4,11,15,14,10,8,4
28009,0,1,8,12,15,14,12,9
28010,0,1,8,12,14,14,11,6
28011,4,8,12,13,13,10,7,3
28012,7,3,5,7,9,8,7,5
28013,9,1,14,14,14,11,8,6
28014,9,1,6,8,9,7,6,2
28015,8,1,1,1,1,1,1,0
28016,0,4,15,11,10,8,6,2
28017,6,6,15,15,16,11,8,5
28018,7,3,10,13,12,10,7,3
28019,2,6,5,6,5,4,3,1
28020,9,3,10,15,14,11,8,4
28021,0,1,10,13,15,13,10,5
28022,3,1,10,10,13,12,10,0
28023,6,1,7,7,7,5,4,2
28024,9,3,13,11,11,8,6,0
28025,7,5,3,5,5,4,3,1
28026,7,5,4,4,5,4,3,0
28027,6,8,10,8,8,4,2,0
28028,6,8,13,13,12,7,5,0
28029,4,7,8,11,15,15,11,11
28030,6,2,10,13,12,9,7,3
28031,1,1,7,6,6,4,3,1
28032,1,1,14,15,15,11,8,4
28033,2,6,2,2,3,3,3,0
28034,0,1,11,11,14,13,11,0
28035,1,1,5,8,10,9,8,8
28036,7,5,10,14,13,10,8,4
28037,5,2,10,11,10,8,6,3
28038,2,7,8,10,12,13,10,11
28039,7,5,12,10,12,12,10,0
28040,7,6,7,10,13,13,11,7
28041,3,3,12,16,17,14,12,5
28042,3,1,13,11,10,6,3,0
28043,3,6,13,12,11,9,7,3
28044,9,1,11,14,16,12,9,4
28045,9,1,11,11,9,7,6,2
28046,9,1,13,12,11,8,6,3
28047,5,7,8,11,16,14,12,0
28048,5,7,5,8,11,10,9,8
28049,5,7,8,13,14,12,10,2
28050,3,8,8,11,14,13,11,9
28051,8,4,7,11,14,12,10,8
28052,0,1,6,9,11,11,9,7
28053,0,1,9,11,13,12,10,0
28054,2,4,6,5,5,4,3,0
28055,2,4,5,7,8,8,7,0
28056,2,4,4,5,5,5,4,0
28057,2,4,4,7,9,9,8,7
28058,9,3,13,14,14,11,8,3
28059,2,4,8,11,11,9,7,4
28060,4,8,14,14,13,10,8,4
28061,4,9,11,14,14,10,8,4
28062,5,5,6,10,13,13,11,6
28063,8,4,9,12,15,14,10,2
28064,5,9,9,11,10,8,7,3
28065,2,7,11,14,14,12,9,3
28066,2,7,9,12,12,10,8,3
28067,2,3,9,12,11,8,7,3
28068,2,3,12,14,14,10,8,4
28069,6,1,7,9,11,11,9,10
28070,7,4,4,5,5,4,3,0
28071,7,5,4,4,4,3,2,1
28072,7,5,7,7,7,5,4,2
28073,4,1,11,15,13,10,8,3
28074,6,4,14,12,11,9,7,4
28075,4,5,13,16,15,12,9,4
28076,3,4,14,16,15,12,9,3
28077,6,6,1,2,3,2,2,0
28078,4,9,15,12,11,9,7,3
28079,7,6,0,1,4,4,4,0
28080,2,2,4,5,6,6,5,0
28081,2,2,6,7,7,7,6,0
28082,3,3,8,10,13,12,10,5
28083,3,1,8,12,11,8,6,3
28084,8,2,4,3,3,2,2,1
28085,4,2,2,4,5,4,4,1
28086,3,2,5,5,4,3,3,1
28087,4,1,10,14,12,9,7,4
28088,7,7,4,6,8,7,6,7
28089,7,7,9,9,10,10,8,0
28090,5,6,4,5,5,4,3,1
28091,0,3,14,13,15,14,13,1
28092,2,6,9,9,9,8,6,3
28093,0,1,11,14,14,11,8,0
28094,9,2,15,12,15,15,11,3
28095,6,6,10,11,10,8,7,3
28096,0,3,9,9,8,6,5,2
28097,9,2,6,6,6,5,3,1
28098,7,5,14,13,12,9,7,3
28099,3,8,7,9,8,6,5,2
28100,7,1,11,12,13,10,9,6
28101,7,3,12,15,14,8,5,0
28102,7,7,9,11,13,10,8,4
28103,6,8,5,7,10,10,9,0
28104,7,7,3,4,5,4,4,0
28105,6,2,8,9,9,7,5,0
28106,1,1,7,12,14,12,9,5
28107,0,1,8,13,16,15,11,4
28108,0,1,6,10,13,12,11,6
28109,3,4,11,13,15,13,11,4
28110,6,3,8,12,11,8,6,3
28111,8,4,13,16,15,12,9,0
28112,4,4,12,13,12,10,8,3
28113,0,1,2,3,4,4,4,0
28114,3,6,14,14,15,12,9,3
28115,3,5,4,4,5,4,3,1
28116,0,0,6,8,10,10,8,0
28117,2,6,7,10,13,13,11,5
28118,0,1,3,6,8,8,7,0
28119,1,1,7,9,11,11,9,5
28120,1,1,7,11,15,14,11,9
28121,2,4,5,6,7,6,5,0
28122,2,4,6,9,12,12,10,8
28123,2,4,8,11,14,14,11,11
28124,2,3,14,13,12,9,7,4
28125,5,7,7,5,5,3,3,0
28126,5,7,8,8,9,9,8,0
28127,5,7,5,7,9,9,8,5
28128,5,7,6,8,10,9,8,0
28129,5,7,5,8,10,9,8,7
28130,3,4,9,13,17,15,13,5
28131,3,4,9,15,17,13,12,0
28132,5,9,12,12,12,9,7,4
28133,0,1,4,7,8,8,7,6
28134,2,4,6,10,14,12,11,8
28135,2,4,4,4,4,3,2,0
28136,2,4,5,8,12,11,10,8
28137,0,1,9,16,16,11,8,4
28138,4,9,8,9,8,6,5,2
28139,3,8,7,10,9,6,5,4
28140,8,1,4,7,9,8,7,9
28141,0,1,8,9,9,7,6,0
28142,3,5,10,12,12,9,7,3
28143,8,3,3,4,6,5,4,0
28144,2,3,9,13,12,9,7,3
28145,0,0,2,3,4,3,2,0
28146,0,0,13,12,12,10,7,3
28147,0,0,4,5,5,4,3,1
28148,5,5,10,16,17,11,8,0
28149,4,4,12,11,12,9,7,3
28150,5,9,9,10,9,7,5,2
28151,2,7,9,15,14,12,9,3
28152,3,7,12,12,12,9,7,3
28153,3,7,9,15,14,10,9,3
28154,5,7,12,12,11,9,7,3
28155,6,5,5,4,4,3,2,1
28156,6,6,9,17,16,12,9,8
28157,6,3,13,11,10,8,6,3
28158,2,3,15,12,11,8,6,3
28159,7,4,6,6,6,4,3,1
28160,7,5,12,14,12,10,7,3
28161,6,7,10,12,11,8,6,4
28162,6,6,12,15,15,11,9,4
28163,9,1,10,14,12,10,8,3
28164,8,2,13,10,13,13,10,0
28165,0,1,8,7,8,7,6,0
28166,6,9,10,15,14,11,9,4
28167,6,6,5,8,9,8,7,7
28168,7,3,4,6,7,6,6,0
28169,7,6,4,4,3,2,1,1
28170,3,8,7,11,13,12,10,1
28171,4,5,7,10,11,9,6,2
28172,6,6,11,15,17,13,8,6
28173,9,6,9,9,9,8,7,0
